k,rho,nu,beta,delta,sigma,lower,upper
0.4279086391389314,0.9892393789987,0.9042735727295275,-0.6935759829951971,-1.022697176417354,-0.36,-0.45,-0.28
-0.5115325683417187,1.1793332218835462,0.6910145155876075,-1.4347015494316695,-1.5818689527221157,-0.78,-0.87,-0.69
0.5812386561062761,0.9744980825190721,0.9098054603340275,-0.8267122710848294,-0.9665061981911681,-0.46,-0.5,-0.4
0.5569099345412616,0.7390948431914393,0.5641042941699164,-0.9242920437051665,-1.3363177028639859,-0.35,-0.44,-0.25
0.4386880256575713,0.8191470221401276,0.8806412394266337,-0.865661485262148,-1.1325120763914098,-0.52,-0.57,-0.47
0.29458927845973615,1.4818421966856108,0.8726611489857554,-0.8399076751611377,-1.0860232526764935,-0.59,-0.63,-0.53
0.27043984214315653,0.9292559349909739,1.0056965450620938,-0.813144131002147,-1.133874853143555,-0.65,-0.7,-0.6
0.41972093984823766,0.6964584636260769,0.9396942569695681,-0.8780584950545229,-1.1544143154083675,-0.63,-0.7,-0.56
0.10349880929452053,1.1142321814280232,0.8922087462637024,-1.0126399597676532,-1.3102393503667882,-0.58,-0.64,-0.53
0.15511217898153853,1.2755941165053923,0.8755381557856592,-0.9615530823806023,-1.3781581644972323,-0.66,-0.72,-0.59
0.27575107689261674,0.9089300226700846,0.8472198618889684,-0.9541745737540726,-1.1119382257249912,-0.47,-0.53,-0.41
0.1820967100007095,0.9238492267808123,0.974781944268434,-1.0302906297482162,-1.3298913978386322,-0.67,-0.83,-0.55
0.5110362701670756,0.7398556053058887,0.9835232807673702,-0.7398409495920613,-0.8981108616905532,-0.51,-0.6,-0.4
0.38864563608787994,0.7765856195728102,0.8814052037228719,-0.8860439960339879,-1.1501083643425418,-0.53,-0.59,-0.46
0.2058973569775514,1.2316358799158653,0.706312923265022,-0.9508998332500673,-1.2251000496723596,-0.8,-0.85,-0.75
0.14092903167805051,0.8937772951125003,0.7805732976782764,-1.0102407756650162,-1.4154521786340042,-0.33,-0.44,-0.24
0.2587197164334264,0.900000803821171,0.9790615115209327,-0.8586511797308888,-1.174926945807862,-0.58,-0.62,-0.55
0.38402771082870923,0.8533348798410818,0.8920231822205499,-0.8924522634872976,-1.1831408503240073,-0.52,-0.57,-0.47
0.46726296317217475,0.8575008407735241,0.8468305457266379,-0.9106775378040315,-1.1745142156769184,-0.46,-0.53,-0.38
0.13554840841750335,0.8628426095953872,0.9077621990781348,-1.0513173782891454,-1.3320365915685262,-0.64,-0.73,-0.54
0.04389708730219438,0.9453310287210597,0.7785285927488566,-1.128503800526893,-1.4512976202263257,-0.54,-0.64,-0.42
