k,rho,nu,beta,delta,gamma
0.04387445051372407,0.8852889934196024,1.087093156785023,-0.9768727737731943,-0.8935037073046745,-1.1055076973341214
-0.023764389997350754,1.1038481142629648,1.0060398639346784,-0.9778674458694832,-0.9547005300159812,-1.0684479319048719
-0.0012096066241058523,1.0529268764031339,1.0201811453863232,-0.9987486236108108,-0.9402210450862241,-1.0669932333365733
0.011083822474962979,0.972991373443255,1.0250546293165046,-0.9673066699555433,-0.9424935566500782,-1.111233079999252
0.04479218192666627,0.9031229555271699,1.1184818641699557,-0.9763100130034199,-0.9351934291220081,-1.0275453672844117
0.06685216736926489,0.9941769777861541,0.9876396373449886,-0.9778475171359944,-0.9665912152185836,-0.9867357829724276
0.0881822313775169,0.9173507195376991,1.0723485618187476,-0.9647577833824498,-0.9319080696406279,-1.016671158403249
-0.060043351763306885,1.0352945085312362,1.035281680242653,-0.9763618454957906,-0.881682889749044,-1.1871365087831856
0.004775384889410317,1.0721833091002604,1.003337528363251,-0.9886268751934694,-0.9639149171913717,-1.0237896592424542
0.07601466312701,1.002516055827485,1.034369772950795,-0.9745006056550927,-0.9300005898021868,-1.02132572280056
0.05894157537162664,0.9518385511709648,1.0361831850410805,-0.9788754023592862,-0.9646145747939721,-1.0253984075016733
0.03015207680552831,0.9128901683168147,1.0393923217736272,-0.9966749289326204,-0.9372772588256784,-1.023518986708118
0.0034995579161513912,0.9788524252471342,1.076999361515085,-0.9893813046231142,-0.9588915581486912,-1.0794898865628355
0.07168740886381501,0.9640997348938012,1.055158759742399,-0.9640906851870799,-0.9434896545906782,-1.0428030058609647
0.048406248536568386,0.9184968250455721,1.0647257595377506,-0.9659457523399351,-0.97450593508187,-1.0249517333834528
-0.03131915361087945,1.1397703606553176,0.9927963310725456,-0.9608553046047399,-0.9129195377583134,-1.1010785599046073
0.025878466585855242,1.0238296554551547,1.0032099318582206,-0.9672216495465722,-0.9635645295705405,-1.0533781618913554
0.08905050127981373,0.9150214310207264,0.9980990944630399,-0.9664062219141253,-0.9009509379807243,-1.092436972083323
0.028744845225995963,0.8937960115831705,1.0888721526977867,-0.9751452568219262,-0.9328498578265922,-1.104671270090974
0.044943370428556007,1.011180138217881,1.0105287037950614,-0.9713298940998916,-0.9668622157425274,-1.038190761807824
0.08664699991826741,0.9207348264567901,1.0574189494810788,-0.9755270495872843,-0.9497068707808028,-1.0062872850521745
0.04551188729190869,1.0150679238307692,1.0661022748752593,-0.975615066180309,-0.9510997914947927,-0.9845875855629992
-0.016486772985761233,1.0631608935845849,1.0053497950861159,-0.9741935883963813,-0.8876395652958077,-1.1606668132239781
0.05008889150424295,0.9269931716736597,1.0869680692003727,-0.9781577423916197,-0.9078809076275574,-1.0672632111565798
0.1225722830457554,0.7419607262494493,1.1413551781725295,-0.9742489636514486,-0.9498001985610794,-0.963603005686513
