k,rho,nu,beta,gamma,sigma,lower,upper
0.2629202543052176,0.9559372797318273,1.5740802081502498,-0.9017997138112102,-1.0573747330838734,-1.67,-1.92,-1.48
0.13924237596908157,0.8464960892747901,1.0854113564521324,-1.0934484040433046,-1.3027513568998228,-1.15,-1.23,-1.06
0.40581644875053324,0.9574058192850647,1.0491203844871637,-0.8747857372055009,-1.0736508187516178,-1.84,-2.06,-1.64
-0.055886482131817405,0.8449916862071273,1.8907294569759623,-1.0276415565925021,-1.2039730047977613,-1.11,-1.2,-1.02
0.27388144071775045,0.7625581753716899,1.6875087882479223,-0.9788004922168162,-1.0258600098406625,-1.21,-1.31,-1.13
0.15579623317017602,0.8954375240777522,1.1128395149053327,-1.0190601913434114,-1.3700598368201482,-1.39,-1.48,-1.3
0.15751434784850993,0.785345051067045,1.0350030434408797,-1.1265190248436645,-1.3401899398190622,-1.27,-1.4,-1.15
0.08891488310567404,0.8104043626700741,1.1249886793920418,-1.0497625608261836,-1.4073307966751207,-0.98,-1.04,-0.92
0.3824145481965266,0.9062683587774283,0.9170598923617915,-0.9368741065136488,-1.0556246849671305,-1.11,-1.19,-1.02
0.27573485467098424,0.6842904538385264,0.995220497664923,-1.0363967468304245,-1.2250079921934387,-1.05,-1.14,-0.96
0.4288059862495626,0.9268016178647547,1.393327984193642,-0.865049532269067,-1.0445024857803755,-1.33,-1.62,-1.1
0.06350806408681785,0.7915555202326648,1.6852772529441022,-1.0199069870690227,-1.3256822673011937,-1.17,-1.23,-1.1
0.09782003437888306,0.8679328950076302,1.1014864592670275,-1.0668289398580086,-1.4307575320051136,-1.38,-1.44,-1.32
0.6376756414460121,0.831416019952608,1.115926212814529,-0.7661902005140881,-0.9565059333931429,-1.16,-1.34,-0.99
0.34033317343982905,0.9336171605228112,0.9969724064348038,-0.9019337143460302,-1.1748848579230187,-1.14,-1.23,-1.07
0.2686070664940392,0.9774009323984569,0.845960113078349,-0.8890613228956221,-1.0611347996769873,-1.33,-1.48,-1.18
-0.17495989322675032,0.8461255410934332,1.5093045880879878,-1.166242494267312,-1.5132123968608715,-1.1,-1.18,-1.02
0.3190174939083166,0.7872438761823801,1.0736321301217902,-0.9529518078880294,-1.2043083493631581,-1.2,-1.29,-1.12
0.2603203818712382,1.06104048823119,0.7056088347262666,-1.0229562315995895,-1.277347136428773,-1.16,-1.23,-1.09
0.3925260246538843,0.8283647556691744,1.393984227144211,-0.887050228711954,-1.073634031113074,-1.14,-1.26,-1.01
0.3997155122317402,0.8033749276663453,0.8920948591153806,-0.9763811945860552,-1.2067094133611718,-1.16,-1.23,-1.1
0.3631541232496237,1.0324872707185824,1.4212394711542267,-0.8486056076865911,-0.9198239967718527,-1.26,-1.39,-1.15
0.42013852116982564,0.8382087912806708,1.9340206609914428,-0.6958730757978895,-0.838498429898739,-2.19,-3.0,-1.73
0.27503631982056587,0.9913149662102051,0.9826544902584506,-0.9285480130781347,-1.1302539758596195,-1.3,-1.4,-1.22
0.13242642599988214,0.956518968843798,1.004857382628157,-1.058061233158828,-1.4079941917169116,-1.25,-1.32,-1.18
0.5444661070926424,0.64885379449044,1.1479507198522212,-0.9205299434471453,-1.100376483316694,-1.37,-1.52,-1.22
0.2478497572953422,0.8926044220042226,1.3785622493660212,-0.9322717599546468,-1.129028706351264,-1.09,-1.17,-1.02
0.27371715657292517,0.7042578711099834,1.4551079036881966,-0.9689820228542838,-1.1848499289264214,-1.05,-1.12,-0.98
0.8633661373720034,0.9290100506197103,1.205813514030623,-0.5109817652206512,-0.6509361636540811,-1.58,-2.63,-1.14
0.2628282078370453,0.8381287604387269,1.048800134725707,-0.9656918046308087,-1.2867835372669334,-1.1,-1.18,-1.01
0.35920298024926056,0.8105064400437969,1.3774584263816672,-0.9327134507609811,-1.1266333219176388,-0.99,-1.1,-0.91
0.3898136249127494,0.739504515405544,1.094483253313713,-0.9649872797077252,-1.2383506119106595,-1.17,-1.25,-1.09
0.08056014937251556,0.8102617820905222,1.2070053825974045,-1.0747964866640776,-1.4992933300829985,-1.16,-1.27,-1.04
-0.02116113740807827,0.8120576608230023,1.365023811049498,-1.1553072174877368,-1.3990852585565636,-1.15,-1.23,-1.07
0.18550007305129645,0.9849416478169994,1.3090556030279448,-0.9344035802951,-1.2405597239726416,-1.77,-1.95,-1.56
0.04823166511293509,0.8486927746048016,0.9617295278308446,-1.1279442389258338,-1.5094088823275205,-1.39,-1.44,-1.33
-0.1990133708552297,0.8484216413236552,1.37628987613533,-1.2807189374914454,-1.505469377938963,-1.29,-1.39,-1.21
0.41353381781876997,0.7924677775095383,0.7523262901084407,-0.9939537668857531,-1.2463715400745077,-1.26,-1.38,-1.16
0.16933011299788653,0.8830273843184209,0.9226664212550159,-1.0470881533144891,-1.3874045285667105,-1.22,-1.33,-1.11
0.28570892115694824,0.8220356061867655,0.7463491009216472,-1.0188951892607723,-1.335432722247813,-1.17,-1.31,-1.02
0.26621116749010687,0.9709792836257589,0.9904326418330904,-0.9204165939971175,-1.115399152965919,-1.25,-1.32,-1.18
0.24909286305852388,0.9621449916391944,1.3779271147799794,-0.9504264533378426,-1.2347624542344702,-1.31,-1.41,-1.2
0.3262164293223575,0.6210484836714973,1.1653121695460964,-1.0137890491545778,-1.240068362610386,-1.19,-1.26,-1.11
-0.21945262585714123,0.9754752945843499,1.286976165370231,-1.1566732449846908,-1.6254570048959796,-1.2,-1.3,-1.1
0.5903102274965246,0.8670327224774423,0.5273398901359873,-0.9093305331017123,-1.1509338863316791,-1.23,-1.39,-1.09
0.04920854280260248,1.0635673906693475,0.9996122855639213,-1.1223640624278197,-1.3719544304282494,-1.42,-1.49,-1.35
0.040120867991919225,0.9111497832204634,0.9507708039331957,-1.168540122557488,-1.4334227217420472,-1.35,-1.44,-1.27
0.18085136389940049,0.9008417862046562,1.018079385373707,-1.0405301188669274,-1.3795553381358778,-1.21,-1.29,-1.13
-0.7691163831882408,0.9526227159411027,2.5862267770179246,-1.2511728360152703,-1.5715527072968851,-1.43,-1.62,-1.24
-0.28474483057150723,0.7624315668994193,2.3340295133795337,-1.0760711875368218,-1.3855212122545626,-1.33,-1.55,-1.11
0.390050991757011,0.731624054198625,1.4549048772269928,-0.9138705260019687,-1.1325515001796531,-1.08,-1.21,-0.96
