k,rho,nu,beta,delta,sigma,lower,upper
0.290836177121797,1.1272529877000017,0.9522429797013054,-0.8977861415549868,-1.14899774259148,-0.79,-0.84,-0.75
0.41749901425870295,1.026583153624237,0.7277880724985137,-0.878115953627331,-1.1254644862753727,-0.49,-0.58,-0.4
0.2269600006586303,1.0921340962729809,0.9089335690873503,-0.911087468108317,-1.1507994480259953,-0.61,-0.68,-0.56
-0.002459456493462413,1.3527400084174186,0.9658232072988621,-0.9773976678792402,-1.2907598870683457,-0.78,-0.83,-0.73
0.3843904312547136,0.755154846660882,0.9481095666599763,-0.9510758156963369,-1.0987692064149759,-0.83,-0.9,-0.75
0.4557644579071439,1.0293487271098225,0.7691048323668522,-0.8841604854417973,-1.1374858985937395,-0.75,-0.8,-0.69
0.23515565203016559,1.0177147785132834,0.9846036524288079,-0.8887809876196757,-1.1545436422536262,-0.75,-0.82,-0.66
0.29211053745925053,0.8502411959038849,0.95926257361356,-0.8660288169241219,-1.2162859689384593,-0.8,-0.85,-0.75
0.3311960222427047,0.8291914030520262,1.1218541531743842,-0.8566540298345628,-1.006893512919744,-0.72,-0.75,-0.69
0.4999524461112773,0.8833763061902338,0.802239212838139,-0.8375743073782789,-1.0237307154916135,-0.44,-0.5,-0.38
0.2512035825847658,1.4561511329037236,0.9063019842636784,-0.8892379346449059,-1.1107046574458606,-0.75,-0.81,-0.69
0.4335039943342123,0.878446002210792,0.9181947103070094,-0.8490133232061312,-1.0426300637659982,-0.69,-0.76,-0.62
0.306264190058901,1.4684287583369042,0.8096934024288349,-0.8683905473831606,-1.170069798007313,-0.55,-0.7,-0.39
0.28324514426552694,0.8694351580059262,1.0482779123714097,-0.8943627580047118,-1.1406732832974926,-0.79,-0.85,-0.71
0.07760740499781348,1.3798288978354916,0.5811523322985392,-1.026867897247579,-1.3005755468044842,-0.5,-0.59,-0.41
0.23452190417097785,1.1155634617855887,0.8629300875266626,-0.9545014471333959,-1.2892764337318177,-0.69,-0.73,-0.66
0.22546698647501967,1.1548104168644846,0.8099963471547724,-0.9320865928611636,-1.156418070209369,-0.67,-0.74,-0.59
0.20803934630423837,0.716667634876702,1.177825372250763,-0.9034241108713357,-1.2712577393850526,-0.79,-0.85,-0.72
0.23138979583294966,1.2881150094974014,0.9072501311946908,-0.899280496189387,-1.1648774740736352,-0.86,-0.89,-0.82
0.3674371996240112,0.803020128718641,0.9091157737085155,-0.9285103111893581,-1.230492517000401,-0.61,-0.73,-0.49
0.4387042963067482,1.0538669443006132,0.7795403049822685,-0.8685613734366737,-1.1604502288815417,-0.68,-0.74,-0.62
0.24427252278131883,1.0500419814522537,1.0110199309287775,-0.8904602965131472,-1.1273050721110505,-0.74,-0.78,-0.7
0.23195404949838477,1.1089417672558675,0.8807470438924484,-0.9166680293823042,-1.2010959172164573,-0.78,-0.83,-0.73
0.35535463933352657,1.0426200136121309,0.8565614670362911,-0.9326092318044785,-1.132842625317406,-0.46,-0.59,-0.33
0.4263637520192727,1.2058924511727054,0.846532226214903,-0.8547780854379897,-1.005829846880614,-0.7,-0.8,-0.61
0.1729425862273689,1.3103145113190773,0.9974020661979784,-0.9550474042732899,-1.1516423637020465,-0.76,-0.81,-0.71
0.2957140032498313,1.222617479491915,0.9126157506208035,-0.9138719214777947,-1.12779221580928,-0.83,-0.87,-0.78
-0.05180593105214388,1.570471141773313,1.0429574586001098,-1.0181053298775682,-1.2651178116411297,-0.8,-0.87,-0.73
0.2837759147618717,1.1201624569299076,0.9394531427688662,-0.8648306178791748,-1.0819004889319521,-0.6,-0.66,-0.55
0.3460081915886124,1.0839409583746806,0.8483077087525537,-0.9560740579349882,-1.1852762533032335,-0.65,-0.78,-0.52
0.26485881517326704,1.1246724446982603,0.8191317286522122,-0.9350455158955158,-1.3524245729404265,-0.75,-0.82,-0.67
0.3458653522236469,1.0649117197008586,0.7111404437079698,-0.9285589290957497,-1.1714822794149793,-0.47,-0.55,-0.38
0.035301963470746975,1.4791969293336922,1.1274181633770142,-0.92278487512024,-1.0618040157776845,-0.61,-0.68,-0.54
0.15098901439730306,0.9247029134712095,0.8367794442519103,-0.9630180132559638,-1.3712467049760428,-0.73,-0.79,-0.67
0.08235880553952185,1.308580882859634,1.0854332837030456,-0.8924143630683803,-1.2061075689730987,-0.66,-0.72,-0.59
0.30335805217373835,1.090736467800819,0.9120845060834555,-0.8526073739721863,-1.0971755051779195,-0.62,-0.68,-0.56
0.38376209744950907,1.0512148233758687,0.8902289217553496,-0.8308175574198864,-1.045814692352916,-0.45,-0.55,-0.36
0.004348866785071223,1.6181332889350846,1.0639083598654984,-0.9341253106283225,-1.1079559657528826,-0.8,-0.86,-0.74
0.4331169023536803,1.13449341781772,0.9477288700089752,-0.8326719004568639,-0.9776969240293629,-0.74,-0.81,-0.68
0.5059924289690669,1.1321035232605399,0.7883049842391188,-0.8338638862207581,-1.0255481502512538,-0.67,-0.74,-0.59
0.18985621548564097,1.366548910894887,0.8718661502923737,-0.9449996474033469,-1.1890424125491452,-0.76,-0.83,-0.7
0.25829268183355847,1.133916241308485,0.8939907658167009,-0.9027527069667631,-1.1736968931380518,-0.38,-0.55,-0.22
0.2784429545045149,0.9228385604856846,0.8926311967577671,-0.9619797303573856,-1.1754021679322553,-0.85,-0.9,-0.8
0.2960442965261968,0.8915544320830963,1.0487590789278103,-0.8359322717312192,-1.105117386201543,-0.68,-0.72,-0.64
0.07775187661846711,1.208299772836786,0.965798141170117,-0.9669722529434209,-1.3060295430380484,-0.87,-0.94,-0.79
0.3855389556483634,1.115927536808819,0.8415873258594861,-0.7975885669405917,-1.0172665579930182,-0.62,-0.72,-0.51
0.37674236345756773,0.8439899208536271,0.9376941900736011,-0.9478631975348537,-1.2009255899266056,-0.77,-0.92,-0.67
0.20067133149526886,0.9911785175483864,0.6900284999837278,-0.9805845257399435,-1.3628746392041649,-0.67,-0.74,-0.6
0.4000012839467394,0.9560328047051403,0.8648242003070317,-0.8014233558622113,-1.1206068473230695,-0.66,-0.7,-0.62
0.2550793188131629,1.150196090822298,1.0019349077562056,-0.8575540393357677,-1.1023937394660797,-0.66,-0.77,-0.55
0.3429160283482429,1.1347911370030337,0.7594076692480114,-0.8445679444390526,-1.1643967547626035,-0.3,-0.4,-0.21
0.1690612966496348,1.4470570647319188,0.7778801517759582,-0.9171916213654921,-1.1617530371882623,-0.57,-0.62,-0.51
-0.20287638535918184,1.4428203016769472,1.0624115747206997,-1.0730378926682298,-1.3106286161121523,-0.79,-0.84,-0.74
0.2677825930294332,1.4825428318963918,0.9118712116412956,-0.9049009945639506,-1.0968399719369084,-0.64,-0.71,-0.56
0.08164634163117292,1.298982385591454,0.882911991823395,-1.0444992592271392,-1.2884507286546358,-0.73,-0.88,-0.56
0.37323399774654464,1.1430969257831087,0.9350503419483551,-0.8416631721978551,-1.0475254808060597,-0.72,-0.73,-0.7
0.3771219438909078,0.7854433439021695,0.8854458093874211,-0.9028681638438552,-1.1302568340117,-0.57,-0.67,-0.46
0.3364627382598913,0.8982457680844704,1.0133279351020512,-0.8442348924091485,-1.2037740846524971,-0.66,-0.7,-0.61
0.22400556273633399,1.3376339833081097,0.9305745982422965,-0.9354308876121734,-1.0726157244800396,-0.54,-0.6,-0.46
0.3082637400346121,0.9642857849142397,1.1469510941688656,-0.8197452429883572,-1.0339607600423935,-0.73,-0.76,-0.69
0.25563102158212136,1.2638313157127115,0.8316176035497251,-0.9279956404530355,-1.1816711738952104,-0.71,-0.88,-0.55
0.26355454516873167,1.1737076047576664,0.8334513068307048,-0.9784624265958374,-1.2431732122525516,-0.56,-0.64,-0.47
0.5511708829225794,0.6819772896242267,0.7718649781966959,-0.8541921034454725,-1.0869302148919715,-0.7,-0.77,-0.63
0.16957569152457358,0.8632823867568523,0.9429261593015179,-0.953846333907932,-1.294045163656903,-0.7,-0.75,-0.65
