k,rho,nu,beta
0.38676793621532113,1.447268698890966,0.9205685051412713,-0.8667524865278918
0.5551631508351558,0.9706535831123005,0.8492305414024421,-0.8317858427318292
0.5291013407532762,1.0027749657202447,0.8902837650415034,-0.8167432524866325
0.5112985549401343,1.1311030863983345,0.8967788864222526,-0.8365196839820099
0.5165447439738412,1.407973822576682,0.8797438159070332,-0.7763604070383777
0.5852476870996097,0.9690894340374896,0.8574496997033421,-0.8218205366995719
0.629123362595934,0.6660508572482229,0.7923796186667688,-0.8136051841946114
0.3727514926464314,1.1946078968305935,0.9602610270457737,-0.9284275888246658
0.3875654233961525,0.855280875046414,0.9390372852941193,-0.8998587314795912
0.1336977058320052,1.9900433225055252,0.9822071009509874,-0.8975733997309585
0.506863699136266,0.7002029809070186,0.8514311886505986,-0.8632789776316451
0.7268443474925574,0.8986323302898496,0.7437580867983206,-0.7536092068515988
0.7848522358700157,1.0031545892416274,0.7277073864250674,-0.8079778204183559
0.5942037739687516,0.7799281535460819,0.8163266189976888,-0.8223137681084888
0.46430894442178067,0.8909237375149212,0.8976495830082826,-0.8544016174626211
0.6555663352626809,1.2327086098739954,0.8292804686904309,-0.8042691063447648
0.5431992549964315,0.9464002823333668,0.8643330817231978,-0.8542747410805526
0.5520092042811184,0.8803915800157316,0.9084522059785727,-0.8139776564709761
0.6039498244011337,1.1113787861391962,0.8422694931829928,-0.7794143010326757
0.5558316595987465,0.5872132838115661,0.8614228540422936,-0.8461265530110363
0.7080525455473333,0.7388190911054348,0.8599785339383381,-0.7455704744137837
0.42151788758399994,0.7962046512474579,0.9374070885024957,-0.9027243307696757
0.6452169102984721,0.9492545771503149,0.7305576190541779,-0.7933707992926649
0.387514694777151,1.1357299913314125,0.9272916686240507,-0.9241757502933629
0.6052504218301,0.9171014389905824,0.8546207054841102,-0.8616116230963865
0.4722970628177648,0.916344283122282,0.9817009404438861,-0.8850075291331903
0.6195600051833984,1.0646364747957768,0.8508224805746286,-0.8385056173773873
0.6359464222814679,1.187304597109978,0.8226116240541859,-0.7847338836526146
0.04891367747422809,2.1576240842516943,0.8618909041836904,-0.8163155754734058
0.3900189644509925,1.9523697216090337,0.9490580195010577,-0.8404881639820418
0.6211316492144288,1.1609549930840632,0.8931984344693283,-0.8460157012725393
0.2699974187982206,2.0668726580996357,0.7680972670113223,-0.763470821531442
0.5265546883317402,1.2212077004865667,0.8269828731326543,-0.8117448242029552
0.6039889947377419,1.2066223766361894,0.8162732068728696,-0.7877473001629592
0.5063280183050306,0.9739366078395836,0.8581877469195658,-0.8827868460696325
0.4532252053949939,1.2720657378868858,0.834353612221574,-0.8752067734339919
0.2458413706916988,1.5780270242690004,0.926025566811942,-0.854083563394586
0.5237796134938326,1.565111912598866,0.8487087613653854,-0.8477792859593438
0.546317164487478,1.1766240093056464,0.7500676272585064,-0.8291525123343613
0.6247765988899473,0.8500874719355752,0.8618739035783425,-0.8198452949682262
0.5799815284811551,0.8816438735009277,0.8102157149632299,-0.8360904543369044
0.5149197948153457,0.6851310863702534,0.8287406902730808,-0.8618965076931402
0.5398305426567601,0.6211330146891466,0.8367041123714437,-0.827955084362884
0.6030993578806845,1.0842196589502437,0.8529978064524555,-0.8087342461113166
0.43108400382819884,0.7866843946982212,0.8767675722097446,-0.8820437664037248
0.2847810176563674,2.122679497556504,0.7816694210939727,-0.7507275590426997
0.6321656838155886,0.9718137775347215,0.7242530721973288,-0.8458614047118576
0.3910098614117914,1.4892027350866142,0.8647524652215733,-0.8319516189137227
0.7253692716441769,0.7923987043946402,0.8235420451211573,-0.8559931052630229
