k,rho,nu,beta,delta,gamma,sigma_cd,sigma_io,lower_cd,upper_cd,lower_io,upper_io
-0.0030789858432276,0.9846627978269085,1.0417073895521183,-1.010174442720853,-0.9824605137887257,-1.004871370143999,-0.56,-2.04,-0.64,-0.48,-2.1,-1.97
-0.01044289937170494,1.009030898703387,1.0244447530495728,-0.9988713279026223,-1.0056199666827448,-1.0065043903219462,-0.52,-1.98,-0.58,-0.46,-2.04,-1.91
0.012165034434605997,1.0012773008174867,0.9656170060688516,-0.9902787297363849,-1.0162741122916137,-1.0011473895203153,-0.48,-2.02,-0.58,-0.4,-2.1,-1.94
0.021381958508126027,0.9972918861163957,1.0039751881054113,-0.9967251220083037,-0.9826523152892364,-1.0029011658087355,-0.52,-2.0,-0.62,-0.43,-2.08,-1.92
-0.012189414508083078,1.0215877364162456,1.0228429021641157,-0.9962861072261995,-0.9942682327584671,-1.0047631224998277,-0.54,-2.02,-0.62,-0.38,-2.1,-1.95
0.027477753326214653,0.9813566728630989,0.9748091552087496,-0.9972163347330995,-0.9955645506104225,-1.0039695621141589,-0.46,-1.99,-0.52,-0.4,-2.05,-1.93
0.016533054255536042,0.993632260894278,1.022579070542156,-0.9980184713803426,-0.9806681082295596,-1.003716450977675,-0.51,-1.99,-0.58,-0.44,-2.08,-1.91
0.017554806441060777,1.0131643737676095,0.9507776804031818,-1.0007002682130413,-1.0108564959586976,-0.9833495106576364,-0.45,-2.03,-0.51,-0.4,-2.07,-1.99
0.003911838367214835,1.0195766171407725,0.9913621021544591,-0.9999095916794623,-1.0031996516172637,-0.990207153046301,-0.49,-1.99,-0.56,-0.42,-2.05,-1.93
-0.014161888159589586,1.0086427455007452,0.9868826261625318,-1.0053894618256896,-1.0225639406368079,-0.9911957676931602,-0.47,-2.08,-0.55,-0.4,-2.18,-1.98
-0.008081760217357062,0.9851217967795461,1.0293013196645944,-0.9917855560036051,-0.9978072273355535,-0.9995759497050427,-0.52,-1.96,-0.57,-0.47,-2.02,-1.91
