k,rho,nu,beta
1.299475929102123,0.9368778174081724,0.9712739208485985,-0.7411179474838092
1.5346328872852242,0.8651541386669908,1.036208121980953,-0.5476156895346558
1.3855141036343352,0.6773481256077574,0.9412311504408601,-0.8739720492307996
1.653250165550636,0.8190474464929434,0.7966755281511975,-0.6788966462294276
1.0385676287748806,1.1599069130422737,1.8766669653151342,-0.8269165196458861
1.5513020565258109,0.9396823716715745,1.274845330399409,-0.6557619169300545
1.5008605781233664,0.8909314504653704,1.1953602172105677,-0.8439732107103818
1.4672198980693882,0.873760932072065,1.5262887940195873,-0.7344153641718134
1.7122724288123505,0.8461798235621437,1.6042985758178117,-0.4265055542499313
0.9403482388150453,1.0702705829923531,2.2583937848775504,-0.9140598980147434
1.4980231183225425,0.9011338767034062,1.1681991564755978,-0.6062736313069903
1.3206291296201886,0.635475028908022,1.6649247896413728,-1.0117178421587147
1.0552102702043893,1.0713895977021126,1.8775099355691136,-0.8866643130845652
1.4993581900766153,0.8750257271052625,1.0054096693328665,-0.7563821583184837
1.602475054730218,0.964717440558964,1.237164993322364,-0.7972816077318349
1.1600893921954323,0.7878506569910775,1.616829002490729,-0.8615440321877637
1.4039618800388136,0.9161325690677683,1.5654953122319328,-0.7150703779930675
1.4218936237874613,0.9778723207818297,0.9161828073670153,-0.679612998804398
1.1755416341018319,1.0746664556636845,1.4882021371050533,-0.7776204353644617
1.3525572563084372,0.9160627874847704,1.4780568767662643,-0.6993043513044069
1.4989459239433796,0.93078029780673,1.209349564839902,-0.687691645141376
1.5772946736441416,0.8228224386462752,0.958526397631442,-0.7389579852115331
1.2022103061559073,0.9814537619788093,1.475800465922543,-0.7764372663723149
1.46995727795216,0.8778520761849353,1.4342100752680007,-0.812192819689873
1.6458003678467756,0.8432623096100026,0.837301245189214,-0.7893514249800572
1.5025861189350933,0.865568400761292,1.5124044167145057,-0.7347878103532793
1.5272433183176428,0.8726364584689807,1.1107832696164461,-0.7435976122447225
1.56661366949654,0.8827459189946468,1.0445551320157778,-0.7810435838506978
1.275599502947856,0.9879564225882702,1.7695703792434174,-0.7973932632207712
1.489392765286875,0.9270775447574393,1.4131265849055308,-0.8003706588049238
1.5364554238088666,0.8633217362972396,1.0387281856107131,-0.6827336223279471
1.5827133334783066,0.8584928132106342,1.238509317185484,-0.6992760210405615
1.5362595925291376,0.744060575101567,0.9504552183082337,-0.7901891600161586
1.5812653491662763,0.763247119870086,0.8336486138889359,-0.8224387120506538
1.5977699006375419,0.883805000392536,1.4698421082424522,-0.7747341741151775
1.583539433432453,0.8937117872097063,1.352451328516978,-0.6641559910640836
1.4124769612597659,0.785619914241474,1.742868984456323,-0.781266596937206
1.476234400861187,0.7935188941641903,0.927704410905738,-0.6675370380062747
1.6235206352218918,0.8516072568740719,1.143190800312923,-0.6678430678568883
1.4035196965638286,0.9027015990817712,1.1513282173866235,-0.8014347329396523
1.3677002028829333,0.8675424910729295,0.9370525265924688,-0.766665184690348
1.7536270839207722,0.7955617011092806,0.8729766164401781,-0.6954436815625186
1.1577422533138408,0.9883235994473295,2.081319992972118,-0.7983877128510197
1.50176365384477,0.8683831939931259,1.0713163029874249,-0.8089221817732268
1.576791585870128,0.7441599260127592,1.2630056819779187,-0.7013555065582023
1.5548388682996135,0.7259724135658645,0.8935170338254389,-0.8567166382480644
1.2910596213085488,0.9627288697368901,1.5423762051341492,-0.9179861294670937
1.336607701652193,0.9089536450938718,1.806589376479628,-0.7081376827778744
1.3804729316410524,0.8396190303039212,0.9945465957667882,-0.871116793582853
1.4400430239925832,0.9056649310405415,0.9914280654072083,-0.7799811374939687
1.5990554200698524,0.7665491734691461,1.2626071883770986,-0.7422111310793036
1.270524680250367,1.0359208365400179,1.3891182175183898,-0.8355999816806657
1.4599973575429637,0.8684760156611454,1.310668163831458,-0.7463339845525411
1.6370710921957,0.875725532735985,1.2830430910718902,-0.7698829426790736
1.6548338435796697,0.7276075876336677,0.9172007948942059,-0.766967578202076
1.5256503871657263,0.8286965230019373,1.2242322062805542,-0.8593172552728852
1.5851832308623646,0.7818222718981154,1.1285564568831528,-0.7972832690422582
1.5248190484599884,0.8424376047010471,1.1492814711584756,-0.658536431928181
1.3383600099784188,1.059152286266923,1.4448723179066607,-0.8039114897770091
1.567443659499817,0.873701296929259,1.0104051816146815,-0.7363193461444635
1.3898106284321317,0.8618172906498599,0.8661662300082573,-0.8218794213565945
1.5230920016675757,0.8995967575243716,1.1915843778485506,-0.6203033812359315
1.558355495833118,0.8151029289903804,0.8062745660225078,-0.7291991296364873
1.3708087000676834,0.9610413499139646,1.0458167488960224,-0.6796297869422246
1.348639123139416,0.954269466224069,0.9864569314191348,-0.6670024772726734
1.310798377042079,0.8843397045711143,1.0246794537506336,-0.881867981682796
1.5455822837787645,0.9372320309718816,1.3230928160962512,-0.7039017439155317
1.5983625776277375,0.7722896980942067,0.8499192427386162,-0.7376441461060548
1.58840156650637,0.8734777909809349,1.1191435957746672,-0.658732060302259
1.6935712978664668,0.8931422304442098,0.7425880948494674,-0.7548183490849574
1.4689420080252262,0.8752669480760575,0.9814400545002562,-0.7591305136164275
1.4969668945730197,0.8081204420869673,1.104215007489068,-0.7786809358071667
1.5536063345876143,0.7581177106226316,0.9189998083335464,-0.8575291372156468
1.071495605855969,1.1095444731246613,2.1212079474886405,-0.5170835870875059
1.206361595259603,0.9417996023664886,2.1945141797429004,-0.6817952359844045
1.4549384762144975,0.9050023184744078,1.1656138488910541,-0.785041145904808
1.4359472907669009,0.8652962695098343,1.0420359016060199,-0.7438721785094183
1.587945394148088,0.754566885673622,1.2331348583363608,-0.7693368764266849
1.3205339299986387,0.826723405095994,1.416179133031035,-0.9047516826179239
1.4425799991191741,0.8091062538885058,1.1151061341007535,-0.7117201925230641
1.3569028648681225,1.0798208818432466,2.0680698631481027,-0.6317094919169668
1.4018854461355965,0.9481229050805012,1.2978554271951,-0.804044202646063
1.3025618957060618,1.0756847838709043,1.3174174650549202,-0.7357454284383093
1.4398741136862312,0.9841622177597507,1.1237003454494072,-0.7455862030644496
1.575325351286378,0.7574091087921799,0.9252248165961234,-0.8054525672966854
1.4260859363244274,0.5844059797488637,0.9210280894759268,-0.8805788952511749
1.484218337010852,0.9789260735953519,0.9969528455499111,-0.6969320648886158
1.3449835536124572,0.937652947851316,1.5588568234102227,-0.81173407442826
1.366258067378565,0.8453131539715635,1.0673538001182632,-0.8012498389554032
1.4286013873099395,0.8806539109037096,1.2229644963047703,-0.769905200714675
1.5496014573092212,0.9553921997780488,1.053613206109033,-0.5534042463871821
1.5573512331382475,0.8525694568533982,0.8022194851838341,-0.7714150468630886
1.4281178460796657,0.8771177767284661,1.0865098091618028,-0.8315851754782416
1.424748992690964,0.7997858898850088,1.211422769695817,-0.8286139691366974
1.4975022138205414,0.8263832787041725,0.8823014057172014,-0.6137132205740314
1.3820289152794853,0.8277438044666225,0.9835904642559118,-0.7599461504282727
1.5188456863060484,0.799253920583565,1.0272601184526229,-0.7968755604141831
1.4353606617608075,0.9703484431838604,0.999809883779163,-0.8618783890311783
1.5474275674757743,0.9878228000402585,1.1093367281650521,-0.7136847140736969
1.5555399526814222,0.8639228249215363,0.8633320549584079,-0.7033172551718399
