k,rho,nu,beta,delta,gamma
0.16871919468144725,1.0242730500411164,1.0001675707656192,-0.8932124892736382,-0.7816930948336563,-1.0410924639012216
0.09798818186208642,0.8842696087021635,1.202330999100754,-0.9595514121700505,-0.8737446852551923,-0.9332750351070823
0.05734003336114246,0.9719162592686543,1.1571510027899348,-0.9778804859327014,-1.020239554215251,-0.9116681902967682
0.0483367737464091,0.8545038823365355,1.3468100507591199,-0.9854550771460222,-0.9038962411766867,-0.969591478270911
0.1635437551593888,1.0292892920362418,0.9844973315419001,-0.9597398844730509,-0.8540981765571992,-0.9073304236335058
0.05196849285897909,0.8607084231154819,1.2061666266152464,-0.9693763295690598,-1.0749719997694176,-0.8754022734547913
0.013377493808271579,1.0163076234084547,1.175582260159358,-0.9897549559707217,-1.1068306427289727,-0.6845293573171567
0.14821839756620614,0.8375229763093064,1.2494529248488684,-0.9542694967294723,-0.8704534134672999,-0.8438770088448206
0.06627977543556801,0.9526977550549482,1.146227116749598,-0.9575958735879702,-0.882791335654538,-1.0094903769140222
0.09100860417705606,0.9075821581999971,1.1687368633512536,-0.9723242343117082,-0.838184201527169,-1.0608713120190645
0.07292340344377635,0.8957026170853147,1.1244283580918628,-0.9701713301784533,-0.9098990474305542,-1.0109763090481003
0.13889925274669934,0.8505593724113796,1.34099862064742,-0.9157801079378887,-0.8427754490175312,-0.8893634660996512
0.14845372721378647,0.845154646743242,1.2677967520468971,-0.936298938648118,-1.014688078048619,-0.803552084435594
0.046406381282324105,1.108923787328192,0.9619914518670871,-0.9979633105304293,-1.009878639113226,-0.8444750169334413
0.08357176980667369,0.928901823494547,1.2294773810993322,-0.9439859534186702,-1.0367952513972722,-0.8378527752007141
0.12760899741595133,0.9470740192447766,1.0427032541501302,-0.9403696210806075,-0.8994516648296327,-0.9179295404171681
0.08026888528407927,1.0109836648574224,1.0086398626704036,-0.9679993680109635,-1.1196549103213054,-0.8327079659022176
0.11717612958520632,0.9547445459410155,1.1080517679194994,-0.935631005782688,-0.8338595499692573,-1.01564408993747
0.043691541814679796,1.1124187909952217,1.0360118681241994,-0.9826004533941556,-0.9683906546278551,-0.907921762353936
0.07266540043586145,0.9646439235283628,1.1602636042400345,-0.9240495523550658,-0.9557861350954582,-0.9446295488405324
0.0690507995657616,1.011431964685457,1.0866721844957659,-0.9648234167930226,-0.9420192349869765,-0.9213176194567487
0.16529597352639458,1.0126726167382492,1.100384936164216,-0.9324885367538265,-0.8258156748560941,-0.9849168118491622
0.118955387155118,1.0783178785983707,0.9216275747966266,-0.9450999696638813,-0.9333629347577753,-0.8604484455188856
0.2752677592185017,1.0688183387509977,0.9798166727584091,-0.8643275418547445,-0.8594480869161175,-0.8449921702655713
0.18295380688870844,0.9097038998554531,1.1556946180199583,-0.9230977859194887,-0.8959831879745161,-0.8153932118193368
-0.1607298884682974,0.8531089741710824,1.607815305788383,-0.9811625073494722,-1.274933884884778,-0.8579144354417404
0.1215572628013593,0.9655296931312548,1.1394617349376852,-0.9457010094918004,-0.8830915598643582,-1.0233813816329067
0.07697640608603941,0.9372244394941588,1.0735309160609519,-0.9486584978636019,-0.8650472050038073,-1.0760099161024872
0.15069432911456906,0.9401669462996225,1.1832624085728236,-0.9444296732668366,-1.007326376757017,-0.8583336736782359
0.12123490190746145,0.8917136236377384,1.1171400665004165,-0.9524970050226382,-0.8771533590981194,-0.9859400738793455
0.13219206627256042,0.8439636039378909,1.1108820051637642,-0.9550788677913287,-0.9181449252516058,-0.9752384122914738
0.17016065415623702,0.9233123585466909,1.0663470168187683,-0.9593956720843815,-0.9787965880670153,-0.7773847164455243
0.1119816974245662,0.9084779812313369,1.10963152037468,-0.9613145687461913,-0.9191738588864802,-0.9622688553430154
0.04612524009510288,0.9879719042247588,1.1845938520585653,-0.9666223143472434,-1.076906745010726,-0.9052787304361994
0.09642084873071077,0.9841202453899971,1.0789825749957938,-0.942393957545937,-0.915211482964033,-0.9945599335868666
0.10609572347439888,0.9462444822350354,1.0886128428111004,-0.9570399901309156,-1.040200397982292,-0.8718151752518322
0.3168110787046863,1.0185867755585019,0.9391264938328334,-0.8571252195264369,-0.9545336481291488,-0.690381652110115
0.007449472141381364,0.9633569263030601,1.1227786926758632,-0.9945754005005463,-1.0584453930788809,-0.9268249382420937
0.21546350976581086,0.8837612009475908,1.1228987316968901,-0.8343914728454254,-0.9083006462047334,-0.8846208028521543
0.09715005905830426,0.991240078326636,1.0760870682265444,-0.9409919243744633,-0.9202467551713441,-0.9151316584269549
0.07659294432111413,1.1390672595349474,1.013386989353742,-0.9383987157933418,-0.9289993395066681,-0.9481625341537169
0.1281947407197639,0.9137713485906442,1.004212904653924,-0.9582790023745906,-0.9504848357742643,-0.9507084241601224
0.06318274656520761,1.1006012884131604,0.9728240591379135,-0.9401773794471302,-0.9719106125301894,-0.8979416381458241
0.10911923563454917,1.1577999370659677,1.0085120192260244,-0.9082677468694476,-0.8818756327984428,-0.8197209440172748
0.0931959371929244,0.9819874158889755,1.0748061373189037,-0.9304081099529381,-0.9908803452026383,-0.9280939381074859
0.16504652541471815,0.8914470322836323,1.1246818165301518,-0.9325720177154688,-0.9158351435080678,-0.8660082404417192
0.08157403785863537,0.9154229230040537,1.1984977855121635,-0.9495186269563907,-1.028310038826397,-0.8813625029177741
0.09829177354717614,1.085211546852037,1.0071621192531157,-0.9300016925375227,-1.0978897019702805,-0.8274634359745763
0.2006941806240142,0.9325629349836106,1.1551963626289314,-0.8787656282954809,-0.8507671209320182,-0.8967416749902248
0.12204126398494763,1.0391100716737958,1.0369505431007773,-0.9475677469830516,-0.8676053300366281,-0.913966548540838
0.1530486715285307,1.0270595225471244,1.0405175957335138,-0.9147364599675945,-0.9544796571596074,-0.8920418787672927
0.05885377770493827,0.9930545926789596,1.0066949735603803,-0.9779697609730533,-1.06964695044491,-0.8515264036814738
-0.003465891572848767,0.9268917857574444,1.3020324673576527,-0.9771101753168281,-1.0665867427207618,-0.7912266575722233
0.004056624820860444,0.9193890971901711,1.2274400777294383,-0.9980878246550907,-1.0551098109153825,-0.9337172367688782
0.060327882701373625,0.9249941017786352,1.149918855809074,-0.9835835017423069,-0.9120366565247668,-0.9982866932250952
0.12530265168418464,0.9490174200648986,1.0968130575885346,-0.9620404058410725,-0.9154111310842146,-0.9117091495523366
0.04004760331023727,0.8748236698172791,1.3243238128157369,-0.9656671698220018,-0.9687118003574603,-0.8723179797880231
0.10228913846981252,0.9721516149150065,1.077233227733914,-0.9661747252937162,-0.9312328191612802,-0.9089681352439589
0.07733297553900398,1.100179056502089,0.9564707400080601,-0.9770520780289985,-1.1241516178581192,-0.7933444749747516
0.09316949532406446,0.9339619662158083,1.1250338828401487,-0.9542012869511518,-0.8075822935235769,-1.1382913306393871
0.12977749048698883,0.8350155457000806,1.037816679159184,-0.9556200596489329,-0.8138995327186753,-1.0793876604004844
0.08481738044125109,0.9132110780378134,1.1557945666098126,-0.9784265811148842,-0.8970691195454308,-0.9670105999300649
0.1063460824029474,1.0963721966724216,1.0019007930195696,-0.9155188566938444,-0.9011569899528272,-0.8989521644446768
0.08283505929758755,0.9869038571385436,1.0895441665839838,-0.9556438847243979,-0.9957854929687252,-0.8551412352527236
0.027892115041041415,0.9853085218161837,1.090294271788132,-0.9688344769949402,-0.9368311168911585,-0.9873262545592003
0.05183681929763073,0.9614564052556134,1.1007123233412994,-0.9882538996485717,-1.0602993520891637,-0.8607561026803754
0.05159647128024614,1.1641909457100899,1.0173880494260994,-0.9674494748385203,-0.8331474373657445,-1.0425354482625204
0.05679784300161261,0.9182535521514563,1.2343751186017533,-0.9773150695217259,-0.9938795668411369,-0.8621892788652519
0.03236674014315616,0.9489228565643647,1.070373432909803,-0.9682193550487591,-0.9801558812324384,-0.9817963423109017
0.1620409280846886,0.8891173771331369,1.0910981940871027,-0.9295325756642653,-1.0007262722316252,-0.7898392838186643
0.16772597937674388,0.8522263837051702,1.0722614294504607,-0.9319383667561683,-0.8390426520696879,-0.9901785728716948
0.15832778369451025,1.0392979030974385,0.9385863481039817,-0.9171944404393502,-0.9421785886274328,-0.7701453035659418
0.13865684051957017,0.9579666276221435,1.019190483003714,-0.8896668922029467,-0.9404041428160947,-0.9060964817126885
0.05216161463798262,0.9705736953648615,1.050070114533638,-0.97656579901942,-0.8692401019752465,-1.0121812617130859
0.10196679770281158,0.9562464884110217,1.0116860373215517,-0.9888268346622335,-0.8971478782537239,-0.9600853866246319
0.12491394859075572,0.9914283950688046,1.1306845575768487,-0.9529638086747426,-0.8572835731779662,-0.9583710037294322
0.025647028026293484,1.034911224693098,1.119375824760788,-0.9708870889230865,-1.0134158647156244,-0.8799198656288059
0.13709839288364448,1.134304434380872,0.9716474033514051,-0.9188152903647415,-0.9433524165974196,-0.905291546888028
