k,rho,nu,beta,gamma
0.5138165438609666,0.8835797664593235,0.6718698023605056,-0.8475389430569225,-1.0092925137660131
0.49081716878569925,0.8234822704700426,1.4271253757506297,-0.8433179031752096,-0.9063011125522848
0.2084079061721867,0.8525882816423825,1.1733699572736076,-0.9484768859707784,-1.2033714461541238
0.4340789758069346,0.6486221713067903,1.2280160513617506,-1.0087829234199353,-1.1024890075908287
0.49275997186999454,0.7954554181252573,1.1231085938761802,-0.9080215291106353,-1.0175902033148636
0.6493409899368264,0.7053491646827653,1.011388719381511,-0.8233357981759842,-0.9323754226957436
0.48162431693932506,0.9610484457906304,0.8525285710600728,-0.8742461949565091,-1.0595137334785778
0.2654320410080764,0.904055815367401,1.2196399512766094,-0.9692799526034169,-1.1523952606807315
0.5216251010852387,0.9190249416114261,1.3935214614144862,-0.8853192913275696,-0.9523883991957774
0.2541945137593412,0.8254775442028717,1.3870075670730027,-0.8812441723752305,-1.1020728281194205
0.1411437465555822,0.8567913616051954,1.6055256502536552,-0.9501020146124399,-1.0684491060076864
0.3818054498034083,0.9625997148752699,1.393837578739396,-0.9268088012303225,-0.8912530875697411
-0.015300384145061852,0.8449960395049814,1.8533110883542339,-0.9776321758133145,-1.2223090846149225
0.1951141149298059,0.7872380856428324,1.3380633295427897,-1.0065206820749948,-1.2701410682849013
0.5880356568919873,0.7108305820622297,1.0925160570876398,-0.748799275821075,-0.9214747889209411
0.47561613712815215,0.7851105593219673,1.3206958791930754,-0.8803253571317006,-1.0672855537608643
0.4377285097418541,0.8113798217831958,1.3134556567738815,-0.8129499922948087,-0.9460316480860973
0.43238325178562287,0.6998511572277429,1.3107709980369404,-0.9829460125068415,-1.0362287172462747
0.3250593349123971,0.9368818714288304,1.3461118591172505,-0.8758816147960709,-0.9525538129801319
0.5348546024727829,0.8372019959036452,1.242141876477149,-0.8603485982561905,-0.9161804894361513
0.6021005343199217,0.6637249906382755,1.0886895211898766,-0.88567191156423,-0.9411443321324773
0.45525904009946666,0.8214218803267009,1.1873282272531631,-0.8737378837544414,-0.9536190786631202
0.3218637129323738,0.9460233019434459,1.375903573398984,-0.8891016985759352,-0.9829843815591442
0.5720611731893147,0.900100345899156,0.6891338812499006,-0.930415411088679,-0.9403669822089684
0.5778452481404712,0.8173687357748234,0.9861608320073891,-0.9031397310436416,-1.0028823923861214
0.47380363443036144,0.8445875973018606,1.0904537152807359,-0.8472071891172674,-0.9504514814682115
0.5429267473398811,0.8602861921990033,0.8035949602400176,-0.8272792883566171,-1.015995177476095
0.6870378912389988,0.8449238887346813,1.0908328201470296,-0.8171535893533216,-0.7848393561887397
0.3949329254785565,0.6283795077860064,1.802640484371942,-0.8621544557495838,-0.8726360732989076
0.31198061543812095,0.9803700009088937,1.417005565318255,-0.9148105300794139,-1.015499401142732
0.6068382485486411,0.8205804721502741,1.0130904881721288,-0.8211349438205185,-0.8802045361025501
0.33733446838998377,0.9362270956013709,1.3116040556328665,-0.889300232045891,-1.1410471683412424
0.43803127282504783,0.9446048389617278,0.9154035316649456,-0.8836956659535254,-0.9919379281607978
0.18680082593801786,0.7360476757996888,1.3656526902914536,-1.0553560634853807,-1.2097521166996603
0.4364731999478011,0.7400384349286248,1.324382240665987,-0.9485662641046615,-1.1412473656645348
0.5475804523591636,0.8360784080364173,0.9534912838653132,-0.8775396340024046,-0.9396552315536761
0.45970343967432065,1.0534009241643703,0.7117904977114504,-0.8661566786307464,-1.1032642312928918
0.36290408419144815,0.7635644926938556,1.5074472375494412,-0.9091097979497293,-0.9923402294278407
0.3659699329146906,0.7900740073319106,0.9560209552968246,-0.9693528229841075,-1.2112343375398178
0.48608522929222614,0.720515268950855,1.2664134119741732,-0.8936867818736628,-1.0479112542046003
0.43212942713291225,0.8782281511344631,1.3242995919184677,-0.8591666376867982,-0.9020242140619875
0.4447129336259588,0.8159855020115887,1.1945464502548195,-0.8781255341355005,-1.0233358848318925
0.24102007227513522,0.7557986345367448,1.5908339279511738,-0.9809141116508872,-1.0739303951291344
