k,rho,nu,beta,gamma,sigma,lower,upper
0.38452626153471636,0.8539122098063241,1.0493833180422019,-0.9016628501869779,-1.1408442563415218,-1.5,-1.63,-1.36
0.4464633465885157,0.8460121853971941,0.7988317289899058,-0.892059254864855,-1.20925669888025,-1.42,-1.54,-1.3
0.6153818507979711,0.917615271384486,1.104554203275349,-0.8492977902164598,-0.9405760625083133,-1.37,-1.6,-1.19
0.2766954433256569,0.7601935298359802,1.8274256202462698,-0.9060826977158345,-0.9919184817245993,-1.38,-1.53,-1.25
0.13716137421510896,0.9768459788083226,1.4172277830234727,-1.016117787471472,-1.1783948492904468,-1.59,-1.67,-1.51
0.5285693465753947,0.8489390657618621,1.018096130413873,-0.870449887142865,-0.9988734824663318,-1.53,-1.69,-1.38
0.3122552974233495,0.8718103852364854,1.304439550847524,-0.9193423775094993,-1.1752319167534193,-1.43,-1.59,-1.28
0.2987951710257815,0.9894712472275098,0.9500794841155362,-0.9543806327068969,-1.1846268683143484,-1.66,-1.8,-1.52
0.02014864463517721,0.7182636736357998,1.4261667469742925,-1.1267471738162187,-1.4003740754627407,-1.43,-1.51,-1.34
0.19108591863417068,0.8315278604586567,1.3418644496715122,-1.0315115574273768,-1.4514275325955541,-1.59,-1.74,-1.46
0.427889136440908,0.823360352511801,0.9125366069058228,-0.9366021780915827,-1.2049586713714997,-1.63,-1.76,-1.5
0.31040849634151113,1.0428480897440213,0.71659265051635,-0.9588317185350711,-1.306237635607723,-1.53,-1.68,-1.4
0.21659380382131027,0.7799084435717163,1.473439987359345,-1.0080824758468494,-1.2008306320700517,-1.41,-1.49,-1.33
0.28554787462490194,0.8465791267228391,0.9695714221103375,-1.017560354522618,-1.249514632552574,-1.42,-1.53,-1.32
0.33122633184826344,0.7554566455225805,1.2898912841361554,-0.975032466145039,-1.1875790270575264,-1.47,-1.57,-1.36
0.3170410052472986,0.9572207854884094,1.3408704532560274,-0.9039908540332833,-1.0954843640624565,-1.5,-1.71,-1.35
0.3337601722173147,0.8048913996340654,1.1855337127228316,-0.9373575246313309,-1.246203860383654,-1.41,-1.53,-1.3
0.11694613558978861,0.8749362090270408,1.6309203480939996,-1.0290343463713412,-1.1387358940933354,-1.36,-1.48,-1.22
0.513869948351807,0.8596643567080631,1.0530066386181014,-0.8760990139124555,-1.0031087550122173,-1.56,-1.71,-1.44
0.14163225781463748,1.019711290466101,1.4232194897459003,-1.0346985113577185,-1.2436196662590717,-1.63,-1.76,-1.52
0.28707364625693116,0.7928159852201208,1.4872919333251375,-0.9690866681198008,-1.1462980534478444,-1.63,-1.76,-1.51
-0.2761950789649953,0.9875870469574706,2.185064932583348,-1.073512556013069,-1.2956639326621513,-1.61,-1.76,-1.47
0.3079075490560044,0.8859470958005322,1.202222723236337,-0.9343227422897389,-1.10795031310664,-1.32,-1.41,-1.24
0.4153856502978831,0.8192352522818442,1.0764025057754236,-0.9660251763285573,-1.1675484673805265,-1.6,-1.78,-1.42
0.12416657095972301,0.8709465311226321,1.0015648709585574,-1.0766121970565492,-1.4834727391384663,-1.48,-1.54,-1.42
0.3312162669744385,0.797924723271845,1.120900714102484,-1.0064805390109204,-1.1997982057884475,-1.41,-1.51,-1.29
0.002971239037736967,1.0974043424021938,1.7750191568595197,-0.9952326820112507,-1.1610300477948803,-1.53,-1.63,-1.42
0.19879723314689018,0.8027078356773116,1.1360841826599168,-0.9734977537999924,-1.3920819380485123,-1.28,-1.4,-1.16
-0.057856848280256765,1.0333352803567344,1.8172456286911016,-0.9633397300371084,-1.3572544469180527,-1.49,-1.59,-1.38
0.41827218069719213,0.8746240439064176,1.074527617709049,-0.856777477433505,-1.096083272447018,-1.66,-1.85,-1.51
0.3415751921009628,0.9897763343889027,1.0744178576725258,-0.8997767868161184,-1.0680099395925118,-1.42,-1.53,-1.3
-0.2354687089025945,1.0215060603893278,2.2126647270980886,-1.0052578670204855,-1.1415215560504004,-1.7,-1.82,-1.58
0.47038678718742066,0.8873084208077059,1.3828509072993334,-0.8374232364902474,-0.9912916359947941,-1.66,-1.87,-1.48
0.5929831414684612,0.7817990753219327,1.1733884984047998,-0.7908368700553665,-0.9832387092071635,-1.66,-1.89,-1.46
0.2040285415764656,0.8228442980140458,1.5816329056601948,-0.946425077604623,-1.2298875529094508,-1.73,-1.89,-1.58
0.2515134169536033,0.8925721652183767,1.1690407201239343,-0.9430809445275616,-1.204303499517196,-1.42,-1.57,-1.26
0.18558095984912604,0.8931302887802921,1.0622446117638513,-1.066200193711793,-1.2145380375746035,-1.62,-1.72,-1.52
0.2992416014574387,0.9825708190854672,0.9310427309580928,-0.9461612773716526,-1.234022704067762,-1.46,-1.56,-1.36
0.1344445418743649,0.8830919278450577,1.3959715162003523,-0.9619673970764251,-1.3048994094648139,-1.54,-1.69,-1.4
0.49209572686516145,0.770970193553622,1.1670404819916258,-0.8103684160233182,-0.9674118258383083,-1.32,-1.45,-1.2
0.36697125643788575,0.9147023081096584,0.9107732783627174,-1.0067125651904498,-1.2275577684036083,-1.58,-1.78,-1.49
0.0610593201814021,0.7012464120264832,1.1466613643261856,-1.082538023402813,-1.5801117606296136,-1.39,-1.48,-1.29
0.3319053362437347,0.8329500520285722,1.511076655673409,-0.8413618671465843,-1.137786714034635,-1.57,-1.76,-1.4
0.33863897579122,0.8574523403794094,1.3121564502663503,-0.8872362954296502,-1.1190063470245564,-1.78,-1.97,-1.61
0.32511951048584553,0.932451566117256,1.1234560772350726,-0.952986566170271,-1.1317108709487154,-1.23,-1.33,-1.14
0.16416969233869644,0.8039830276899187,1.5014967839357523,-1.0372458144182999,-1.2243158406900156,-1.33,-1.39,-1.26
-0.44676019879371986,1.0345343957731883,2.1537956544180923,-1.1554554160628585,-1.4605985458934674,-1.5,-1.61,-1.39
0.09609435693782033,0.8049958195154641,1.948045784907491,-0.9959440961398714,-1.1056978613155228,-1.66,-1.78,-1.55
0.16651294530856536,0.8578956736805159,1.1326971236800318,-1.0727641448799776,-1.2981763205730026,-1.67,-1.8,-1.53
0.5065661696976828,0.8114276924855577,1.549351001044523,-0.8707560279771301,-0.9651652191305885,-1.42,-1.62,-1.3
0.36215946092578366,0.886988099867462,0.7514135601576772,-0.9510962002502698,-1.1846795906549215,-1.46,-1.6,-1.34
0.2347783667220586,0.8961683658590796,1.0025385525258836,-0.9739489161036885,-1.336096892623714,-1.29,-1.36,-1.22
0.1469938500623956,0.8798022798741473,1.6438183640788324,-1.0244058533673983,-1.1643681751695687,-1.68,-1.76,-1.6
0.2839214049225304,1.0053371563108366,1.1847164060787527,-0.9372044096715395,-1.062958565107162,-1.38,-1.48,-1.29
0.3062403880697055,0.853411897595481,1.3229158438890058,-0.9267278548487334,-1.1600758514254896,-1.69,-1.87,-1.47
0.18781601303245454,0.7154360615881301,1.4787222907002457,-1.0905028474575877,-1.3248420376483554,-1.4,-1.49,-1.3
