k,rho,nu,beta,delta,gamma
0.11431920355645148,0.975580172490715,1.1236491696745192,-0.9504471925319261,-1.0049080199202303,-0.7919059983809851
0.05010609312203024,1.1470250441084207,1.0037496497737788,-0.9421686613376522,-0.9576238482255857,-0.9406848433274718
0.07147969092796566,0.9959120101716397,1.104692188380058,-0.9739421009862688,-0.995890529644479,-0.8130053095184453
0.21651982254939134,1.09810130352904,0.90387586682385,-0.9332088348914539,-0.9437382937196906,-0.7304089345505194
0.04360662373870988,1.0096214312485794,1.1941412402227494,-0.9856066709291279,-1.1601494954629485,-0.7026229491602947
0.04597258214939259,1.1583413057056795,0.9835509779544952,-0.969467248216657,-1.0601325860027524,-0.7098348899084914
0.11259209848411003,0.9819408283969715,1.0911478117869442,-0.9623093446237371,-1.026571280527963,-0.7862750151807413
0.1907155738664114,1.004667304172581,1.0550719924136607,-0.9221535806035469,-0.9670400339011217,-0.6813537940900476
0.13271366266685553,0.9084900393716023,1.095235264777521,-0.923063291226875,-0.9407268450922084,-0.9250715354901653
0.20267905919515092,0.9548775434015955,1.0625716674563335,-0.9271671263721724,-0.9724410768791916,-0.8090264938933164
0.1060687094014448,0.9127598301976109,1.1116198384232339,-0.975158445490507,-1.105028650567066,-0.7462026882069579
0.08259742652000493,1.0490202646408988,1.0678062869891969,-0.9551054041024888,-1.0660615541673955,-0.7281914306164833
0.15579534201723366,0.8063584419393774,1.1729572933609334,-0.9303626724059413,-0.9312470519783672,-0.8797939603469944
0.10079238456691093,1.2030934668346238,1.008763488504647,-0.9379550609652604,-0.9815915537022106,-0.8098862984183474
0.17165305866287905,0.9972421128121128,1.0536965574743649,-0.9682941605119637,-0.9569643400686939,-0.7284323141870722
0.13158120429849018,1.0022808701494936,1.1160012180146746,-0.9502112629845301,-0.9781823040848863,-0.7180000984002917
0.1096356501547951,0.9385319321501375,1.08845775360016,-0.9672853750066129,-1.0437515183214128,-0.7738912640898225
0.1439485473900174,1.00146122277706,1.0511972171076753,-0.9538374577263016,-0.9880571057354173,-0.7615195036679876
0.06402105135257424,1.0579107085220059,1.0528656010254762,-0.9866328009018301,-1.0013971031010622,-0.8185746027947816
0.13800487063744699,1.1461942569714605,0.970999399054937,-0.9109957786896661,-0.9277872881417653,-0.9043584199245284
0.18230927239559014,1.0275031864797977,1.0072243243616177,-0.9317208020089649,-0.971721045836104,-0.8102827095157394
0.06350539652193216,1.0129541018344965,1.2275068968548666,-0.9484349820078631,-1.076945164920408,-0.6141434744845028
0.08048646558520922,0.9562348424110628,1.092190175532707,-0.9580501858212421,-1.0861422142209727,-0.847203942668725
-0.008259380863326754,0.8579689611421436,1.2448541420330714,-0.976244173391086,-1.1685497437189811,-0.8440222843140813
-0.010809683122583291,1.0087420046418174,1.0535297576134943,-0.9844604280826966,-1.2998756991693576,-0.8327970739095721
0.12151185778631896,1.0243187819753214,1.0725128575056015,-0.933992272726857,-0.9483048339260415,-0.8784285915643917
0.10296240259072262,0.9382149430413267,1.1841664182575402,-0.9625960109752364,-0.9485382205071321,-0.7545124401365582
0.11929735643616277,0.9822018161594535,1.1429388628427053,-0.9550498997058334,-0.9779104026283911,-0.7579658474438935
0.0849575760779451,1.0281755708261184,0.9979717226847553,-0.9779521965355349,-1.0595967337607737,-0.7788237129330781
0.09062179777787965,1.0235694027289017,1.0170888328247867,-0.976810035960382,-1.1106566154741293,-0.7079395835747063
0.09304600547470654,0.987313141256049,1.0151508838102308,-0.9597894696542238,-0.9784503503774572,-0.8911496597925739
0.1574503820988195,1.0218734604084578,1.0518120389565526,-0.9452186616444369,-0.9679355701732989,-0.7417697253177005
0.13511658835870305,0.9532752349996908,1.090797567626553,-0.9697742144462363,-1.0301690968542956,-0.7640248327995797
0.043808028045462855,0.9970311668958128,1.0871960431311778,-0.9727752099787242,-1.1016550690518265,-0.8093584960224496
0.11629450592982633,1.0203205516438218,1.0286895090703552,-0.9450749740494653,-1.0185248221528103,-0.7792937538476863
0.05016073883712257,0.9943144454372277,1.0736977512064008,-0.9598238918197041,-0.9979297069420631,-0.9207451450698364
0.14413092624157056,0.9961631450033782,1.0169096456945337,-0.9408510218357367,-1.0282751563877288,-0.8132427447806738
0.037232782517764185,0.9532617758638935,1.2832473738190133,-0.9819810047507093,-1.1047167715170605,-0.7982992686482353
-0.014440502223747737,0.976036760105091,1.1773966570248946,-0.9835108504874924,-1.0523602920847077,-0.8177387910607495
0.1526320564903475,1.0398976756421865,0.9988470286078557,-0.9354319871615462,-0.905587748915487,-0.853112031944955
0.20386488224744287,1.1371001676556534,0.9757900958733885,-0.9275589878948967,-0.9676960159377576,-0.6725584648935431
0.139445854380303,0.9754328108385768,1.1669411309229072,-0.9387141700942061,-1.1105715050333256,-0.5944261300846684
0.1801855962855664,0.9242701343674378,1.0730186573324403,-0.939707562481062,-0.9734493932905491,-0.8165472820318146
0.05261919060159523,1.1596971313804325,1.0267590726849327,-0.9772987368699741,-1.0124011960612198,-0.8471108631862726
0.09675602599543864,1.0281383411119824,1.140870168452098,-0.95871740190706,-1.3245617112329007,-0.6393424018445258
0.10858705580216868,1.0383260369511624,1.0105563206432713,-0.9747814497966024,-0.9377998396835994,-0.8882069975371316
0.1295019313573722,0.9320355910080838,1.0990930281013742,-0.9230171191050179,-0.9442246765045632,-0.8812816128418295
0.08242823426601531,0.9874467491942476,1.1864505400695144,-0.9635740422303164,-1.0062186117404694,-0.6893802255568894
0.16306952497881755,0.9388034208592464,1.1670956943357245,-0.9586301064125597,-0.9111809188657632,-0.735940412791477
0.049743588389741356,1.0491055376053773,1.0369975046070654,-0.9757457506034232,-1.0177039459074433,-0.8678685987520598
0.15177706901374077,0.9436222321803471,1.162965205719118,-0.918749907489779,-0.9488023085801176,-0.8331443897906636
0.13535866468980037,1.020189511916867,1.0538827288179313,-0.9496590072278839,-0.9945524297614772,-0.8518681245268221
0.1400085539694672,0.9383185382832914,1.1117342517514728,-0.938414960259084,-1.0154543569114822,-0.7481609101143171
0.09417142510375268,1.099244452598594,1.0234209053548469,-0.9700322818685909,-0.9818567891956262,-0.7523336791752803
0.1047578033045633,0.9289833157252526,1.1274969420507106,-0.9460979597484466,-0.9778274488677472,-0.8416919090140227
-0.020743423366278435,0.9767378160577838,1.1503463671308158,-0.9931376063179405,-1.237735498518526,-0.8166823149938194
