k,rho,nu,beta,delta,sigma,lower,upper
0.0016682952053962965,1.0153791913473769,0.9903751290437371,-0.994951674178234,-1.001803895397542,-1.99,-2.08,-1.92
0.03041507111399269,0.9798518970197666,0.9828567937938796,-1.000524562753267,-0.9724550488989435,-1.94,-2.03,-1.85
0.0010692966165246273,1.019479120282909,1.0131020362836423,-0.9916889379054972,-0.9953625942364792,-2.05,-2.1,-2.01
-0.020514874941542065,0.9993218726334664,0.9832375828276216,-1.0141796644336292,-0.9937042277322075,-2.04,-2.13,-1.94
0.0016886716077370613,1.015002235977478,0.9730104630765404,-1.0025911943205343,-1.0091798398303138,-2.02,-2.08,-1.94
0.005117179690104059,1.0038738025728047,0.9960237646051079,-0.990266189443232,-1.002062570325771,-2.03,-2.14,-1.93
-0.004539825855439271,1.00480030806445,0.9897090612905606,-1.005686243189782,-0.9998138927013354,-1.97,-2.04,-1.91
0.001033329470531471,0.988991372385929,0.9920162375445956,-0.9978758142776254,-0.9944654471494097,-2.04,-2.11,-1.97
0.03500107544086921,0.9867270210919661,0.9851144336962445,-0.9945279918431416,-1.005806588270767,-1.97,-2.03,-1.9
0.022974938821031042,0.979898832515907,1.0002149837295606,-0.9883747056859322,-1.0082263123175652,-2.05,-2.18,-1.94
-0.009155713351176424,0.9781733970487052,1.0340690451327852,-0.9993168195174184,-0.9922281706843656,-2.0,-2.1,-1.91
-0.031153811544722524,1.0053634971891139,0.9948632040994421,-1.0155110475893356,-1.0105635478585229,-1.98,-2.03,-1.93
0.009145374757735702,1.0213166022229303,1.0179875690437434,-0.9947116587741449,-0.9820490073678789,-2.01,-2.1,-1.94
0.00847951722282916,1.0073014457054517,1.0010868293720412,-0.9907976797399518,-0.9921928327122536,-2.03,-2.11,-1.95
0.004554375873487544,0.9981350307627345,0.9891532216916035,-1.0010328739673813,-1.0017989525445885,-2.04,-2.11,-1.98
-0.008010843707662803,1.0122646290316584,1.0198608462794887,-0.990092551979837,-0.9876203031705939,-1.99,-2.06,-1.92
0.005539517595302005,0.9907033016951834,1.0055255112507178,-0.9974540878504705,-0.9849773528652754,-1.98,-2.07,-1.89
0.0014319702794240402,1.0095917918777024,1.0103634288351508,-0.9972586288317781,-0.9870156294081468,-2.04,-2.14,-1.94
-0.03635071115359326,1.0056146805642947,1.0349869239143967,-1.0006406716050522,-1.0184549378300813,-1.95,-2.01,-1.9
-0.0029053471950854634,1.0033205981114182,1.0042755215722088,-1.0072892371459645,-1.0137505027990095,-2.05,-2.11,-1.99
0.012725930977019625,1.0152680911763483,0.9689958352337404,-0.9993256600713223,-0.977693247321183,-2.05,-2.13,-1.98
0.013157490342445313,1.0030555365174108,0.984817026261653,-0.9938216694988169,-0.994827094607582,-2.01,-2.11,-1.91
0.006135931859177417,1.0013408917910782,1.0007812951023372,-1.0021449139430945,-1.0037138446363727,-2.0,-2.07,-1.92
-0.014641018175239318,1.0001238943729485,0.9940067439870347,-1.001092124007787,-0.9973990241774251,-2.02,-2.14,-1.91
0.006292259697083073,0.988402037668741,0.9932296137981231,-1.0081029313380783,-1.0099238885864072,-2.01,-2.07,-1.95
-0.018288525883715708,1.022394051278787,1.006827544505658,-0.9986587479174738,-0.9910806213317074,-2.01,-2.07,-1.94
0.011574737045088077,0.9850542563067273,1.0227269941058663,-0.9920293354033316,-0.9963548958523316,-2.0,-2.1,-1.9
0.011419453101700346,0.992941677869329,1.0086319945146252,-0.995243300809744,-0.9904670786750733,-1.96,-2.04,-1.87
-0.007658913240098259,1.036403976648085,1.00677098446001,-0.9959832159924341,-0.9845740799659853,-1.98,-2.09,-1.89
0.0046576426753207395,0.976469517603321,1.0070979006479346,-0.9986259817363744,-1.00807454630121,-2.01,-2.09,-1.93
-0.02831424535348471,1.0014300499368924,1.0035766920123088,-1.009230471113232,-1.0176260223071156,-1.95,-2.0,-1.9
-0.010661669988509738,1.0091365791739926,1.009390401600806,-1.0006504874352682,-1.0021644551903492,-2.02,-2.12,-1.93
-0.014928706357201154,0.9859383563167112,1.0011061387438698,-1.00745404893831,-0.9979248197531008,-1.96,-2.07,-1.85
-0.027899522263338687,0.9991997757132207,1.0108694428147462,-1.0167445988098271,-1.0225619641164694,-2.02,-2.11,-1.92
-0.026047637801884193,0.9897550731320495,1.0085689879534705,-1.0131100295618274,-1.013779492404479,-2.02,-2.09,-1.95
0.0014097136725184011,1.0230827453310254,1.0163950359684486,-0.9901129004977062,-0.9870277503211902,-1.96,-2.02,-1.9
0.01512129050370737,0.9971229575542929,0.9763971573537471,-1.004902862114041,-1.0030380977077988,-2.01,-2.14,-1.88
0.012047902465764367,0.9752635325932768,0.9908917338741253,-0.9904159373943724,-0.999083684427915,-1.95,-2.03,-1.88
0.004716587203985288,0.9701549589230358,1.0151563941636734,-0.9974487434255974,-1.0071161826829296,-2.04,-2.13,-1.96
-0.021599005645046448,0.9956530217331072,1.0325369951770642,-1.0007933709984438,-1.0378162668379582,-2.03,-2.1,-1.96
0.0026028056941437908,1.0099094454134618,0.988580222955225,-0.9954080043902427,-0.9978469527751911,-2.03,-2.09,-1.98
-0.009738961638492638,0.9902277539118212,1.00472650046397,-1.0180634981645444,-1.0054037377349094,-2.0,-2.07,-1.94
0.026175060721293844,0.9808262185629,1.0015232159750953,-0.9996086528308944,-0.9967924092305578,-2.0,-2.07,-1.93
-0.014481067642028448,1.0124859409123683,0.9738167691486606,-1.0024035626429995,-1.0447014697541692,-2.15,-2.26,-2.04
0.005747779205613817,0.9497905715539992,1.0164605525447798,-1.0062951132852502,-1.0074319011975001,-2.02,-2.14,-1.93
-0.007980985632729485,1.0180735126153646,0.9706589702023285,-0.9999637364962,-1.0101883502426037,-2.04,-2.13,-1.96
-0.0014476281620971856,0.9905435384795817,0.9551381969826335,-1.0087900669295302,-1.0145729883053014,-2.02,-2.09,-1.96
-0.015107996962669514,0.9750202307528724,1.0126672032124016,-1.016885137769648,-1.0237289343967413,-1.96,-2.06,-1.86
-0.00386309065724701,1.0554654411313589,1.006004738403714,-0.9992236514587058,-0.9742399631569065,-1.97,-2.08,-1.88
0.011233108554603778,1.0206278615475346,1.0039942055412774,-0.9943482853673032,-0.986608666568715,-1.98,-2.04,-1.92
-0.00373670169333253,1.0257141569729709,0.9917541731822714,-0.9986952910011466,-1.0066756838769417,-1.94,-2.02,-1.86
-0.006015853361196846,1.0327481470745528,0.9876038595028096,-1.0017743404511603,-0.9947700315987348,-1.97,-2.04,-1.89
-0.006868178845789288,0.9797474751070315,1.0285418905354877,-1.0064493108072536,-1.010799216254685,-1.96,-2.03,-1.88
0.0253145444354733,0.9896523243099526,0.9462467143570366,-0.9932931232706256,-0.9954459268113188,-1.94,-2.03,-1.86
-0.016070188817432027,1.0116111989289167,0.9900144800643944,-1.003207665852318,-0.9930594441376739,-2.0,-2.15,-1.86
-0.030708681643724915,0.9945186794184053,1.0127958240652428,-1.003956181216347,-0.9920909745945161,-2.0,-2.08,-1.9
0.0013663205351557416,1.0068026888795893,0.9839843483874038,-0.9995753685049842,-1.015199987726676,-2.02,-2.09,-1.96
0.008550276994056128,0.9607690487228917,1.0067597950607814,-1.0093001123117413,-1.0210921145908811,-1.99,-2.06,-1.91
-0.02184071059694096,1.006923584250654,0.996308078458879,-0.9985644209977736,-0.9917407305836392,-2.04,-2.15,-1.92
0.027090142517837312,0.9743643318883092,0.9947555505811633,-0.995585988337377,-0.9924851416164199,-1.97,-2.05,-1.91
0.01686729412743755,0.9855140212936508,0.9907134108839448,-0.995884878833495,-0.9962389633628965,-2.0,-2.12,-1.89
-0.00869933776066593,1.0245822026362585,1.005865083395125,-0.9947151666912472,-0.9941131257662266,-2.02,-2.07,-1.97
-0.04731939282771775,0.9716110779208159,1.0470126512759,-1.0188064291171184,-1.0299698589006936,-1.98,-2.05,-1.91
-0.027375943843546684,1.0140313478795844,1.004430536433337,-1.0054284127033681,-1.0021289122510293,-2.05,-2.15,-1.95
-0.042173303003589596,1.0261190202430552,0.9984709388655483,-1.0123775340830594,-1.0099270994316623,-1.99,-2.06,-1.92
0.010690966216990366,0.9776061554186191,1.007832718472597,-0.9953322414524829,-0.980661452274061,-1.94,-2.04,-1.86
0.025637163246171456,1.0050745037325604,0.9729262446712545,-1.0024994570046089,-0.9762154301127137,-1.98,-2.05,-1.91
-0.012446106202858059,0.9619637024467489,1.0108689163859896,-1.0115097845634153,-1.015894247227985,-2.01,-2.09,-1.92
0.0023338035155176726,1.0044828682269538,1.024092129320012,-1.000747846293627,-1.0164495736971704,-2.05,-2.16,-1.96
