k,rho,nu,beta
0.41773487422372374,0.902228515548601,1.041708713105955,-0.6142866734962679
0.5548939490307586,0.8438256643754107,0.8618646411814443,-0.6057852595465028
0.42493159716753576,0.9421208116778212,0.9129657138621862,-0.6822781020945633
0.5500505300431384,0.9059570068164382,0.735744585178488,-0.6967205769260479
0.3883747876831189,0.9050694287547317,1.1163112074576191,-0.6582841357617396
0.6404660540329639,0.9511672010337338,0.7851786405707749,-0.6365804264534918
0.702053593568262,0.8469077677321644,0.48421763497656056,-0.7458422099278925
0.6994222002320707,0.9703122056097075,1.089814672939587,-0.6586482120354364
0.4219618153519282,0.9546603456703632,1.481625603430769,-0.5989236314087335
0.5118985999690278,0.8899625532288808,1.2952606827382958,-0.7154277828989056
0.5029980500968954,0.9303524727657457,0.8278183564446223,-0.617319154723014
0.5444064272787386,0.956139547090221,0.9873778715394613,-0.753082892796243
0.5104461891838796,0.9411899780381934,1.1992866744929955,-0.7729517714581153
0.41628685635512214,0.9492415134709431,1.1007180581317364,-0.7314314298491488
0.6457673295239184,0.9260052688918247,1.0237655827176326,-0.7085543581209152
0.41959406960374573,0.9885428573528835,1.230021048434904,-0.6743654210453452
0.5272097425867664,0.9687642679223073,1.1141792248606823,-0.6766095200020281
0.40887908619184926,0.9326570960892242,0.893547926793361,-0.6661051818796428
0.27922768670935005,1.0227685271534235,1.2296124220809124,-0.7515302444378145
0.493279708606938,0.9685262046627716,1.0885740524751428,-0.638687491158043
0.4683893153425446,0.9644592576190788,1.122989098334828,-0.6319661824109213
0.5579626011115411,0.8729639221559052,0.8756140218565591,-0.7047040513406214
0.3708456639626913,0.9382492273785384,1.6032229492180803,-0.6396543197290456
0.45427112106304823,0.9203811923922792,1.3614265293153205,-0.7491665642438468
0.5697872384052571,0.9029525389954227,0.6287399072618802,-0.7413519621429652
0.5815283112762456,0.9637337377364764,1.064148787832743,-0.6870255637612827
0.5403232992438916,0.9237542143436994,1.0888213567712084,-0.6345865149048614
0.48931718336562585,0.9785157531302614,0.7560225082859413,-0.7788323044826495
0.4177496900948565,0.9591996036750555,1.1946826938791255,-0.6872911594999752
0.5100138463579817,0.9412886660399086,1.1381854850058457,-0.8274384603253286
0.6463582003860185,0.8325291256622926,0.8436053548155262,-0.6154462685718463
0.7723921388637391,0.8237904752995093,0.7139895876824067,-0.6808055606390883
0.534926686948306,0.8412340785824591,0.8166392730768686,-0.7415778305232845
0.6158384680139276,0.955692737666989,0.5862442120284483,-0.7593548522798226
0.5936412494672059,0.8617531431032002,0.5674228061933374,-0.7613640825991199
0.48525350542884743,0.8985872658971014,1.3972026346225683,-0.6621498537880909
0.597994822213058,0.8341245089828773,1.0288367312124838,-0.7030463086760284
0.4865027014948617,0.9199008384292371,0.9815736304657843,-0.7353425659449987
0.4342909753784176,0.9305449205242214,1.2385972952266315,-0.6556135591174773
0.5977036567004993,0.9247837898038759,0.8787601870313066,-0.6581763798857546
0.28230045322615605,0.9771129170269032,1.0662877780870677,-0.7325814323461148
0.49585892206701154,0.9642011656303682,1.1009249011476885,-0.6864131371588368
0.5713640767154212,0.8666729556914969,0.9755554845929912,-0.671063769366691
0.6116497595774428,0.9079672125407598,0.7247418223009799,-0.7196159318319584
0.39126239323428447,0.920410082976544,1.4875149417924225,-0.6768520544568856
0.5927342211247024,0.8462482592781944,1.0083831647918498,-0.6517617679687329
0.43429545002454895,1.022960591627101,1.1497076787147837,-0.7266009242107692
0.5357137610004183,0.9620734610962396,0.8455261005980662,-0.7408186064048755
0.5982864032548164,0.9007225757493057,0.7532272337658239,-0.7339383108623463
0.5131332387638395,0.9310073460471631,0.8891339720998925,-0.7326366009484658
0.6665214786468288,0.8221086780031902,0.8915964567373023,-0.6978930556799777
0.40435292480282464,1.004972817013189,1.1704925563585782,-0.7331207265101835
0.5508843500153735,0.9060223847928751,1.0703120489902087,-0.7241009175509143
0.4624541772531739,0.9931467908309912,1.2288390610386322,-0.6916888516070002
0.6146203995070026,0.806359445013638,0.7342880904747994,-0.7058572331984608
0.5766184017740718,0.8552372164138646,0.9595348709356023,-0.7002568959258331
0.6012700768247162,0.871984564203664,1.0443087833733051,-0.7128125826414783
0.5285044826291954,0.8718476938398965,0.9428096301853633,-0.6376245232274933
0.4548660497144566,0.8959865829333999,1.0859370608245924,-0.6730165636422321
0.5751475906038721,0.9690838927573261,1.03811644986274,-0.6379368248155933
0.49295415038873897,0.9016867704218522,0.8572813292465881,-0.6496446880871997
0.47358177858278655,1.01980800072554,1.194402312887267,-0.6321154685086309
0.5657630179077547,0.9081408451834406,1.0108754648554112,-0.6736479804776677
0.44172926879751806,0.9216011258418373,0.9601350858594213,-0.6284953325318816
0.4292265867774237,0.9114547616364931,0.9260265642015164,-0.5512947378332772
0.3451605586716686,1.010507533157607,1.190839115601752,-0.7288706334312266
0.46512855167036216,0.9655415340675126,1.1726469979501277,-0.7178155501459461
0.5483085626661849,0.8992938504829432,0.9858500520916109,-0.6835635183664326
0.52026209182745,0.9874581391159839,0.792431218955769,-0.6609168854825778
0.5024538029076436,0.9823332061123351,0.858368313850103,-0.7014314574267486
0.5307612182101988,0.9220233937471474,0.7580499389632215,-0.7300021067845521
0.5773881460662267,0.8783459833637544,0.9400082312648228,-0.678267025602573
0.4913587299560932,0.9352041462795366,1.0596339198829288,-0.7067646439302682
0.20417844317898984,1.0350501527747578,1.7582270826664705,-0.5487933186552334
0.45489252977068567,0.9551276821734545,1.236624007139019,-0.7450184698724561
0.4953968691517646,0.9252156160612587,1.10838203829215,-0.7277406131404929
0.617460383959145,0.8720989390090845,0.830423729319424,-0.6159047867620666
0.5790095601095527,0.8270966927698942,1.0825404860113208,-0.7044412648191798
0.5383219556512472,0.9264935765455445,0.8668482108247567,-0.6988067607659607
0.5038813210965978,0.908324537134064,0.897185438197236,-0.6837840803304587
0.5527251220182956,0.9639910166594942,1.1043707737706985,-0.6911682383760258
0.5059285319724272,0.9656076997089506,1.1256582129571182,-0.753162370889641
0.5717504855771611,0.9402686559794607,0.9648388516195952,-0.6215024672731199
0.5164988452038437,0.9411185489377988,0.9212438070360278,-0.6766590321681517
0.49190872843200667,0.9312824546126303,1.3484502638080522,-0.6359417134338559
0.45163200509361706,0.8741072935496332,0.8305057522911263,-0.7230363907453131
0.5181074114333848,0.9594439475885592,0.7985883344777731,-0.658218102314487
0.3909417124440353,0.9797886448303399,1.1366077346748953,-0.772055104497435
0.48593309365420195,0.9512213192240013,1.1483969455346261,-0.5117745681565582
0.44166977157201814,0.8497991525251931,0.9417741594287792,-0.7951315198930108
0.5613789399224866,0.996205678487823,0.939415665814514,-0.5443388977097606
0.533643278202943,0.9456934769504137,0.8045574351916481,-0.6866620045637452
0.4417476331636185,0.905203983485457,0.8633880187777994,-0.7328178690547913
0.46514785736309705,0.9169896763325791,1.1272801618137214,-0.7003634705289352
0.5136665674144866,0.8773870866012061,0.8474022030566293,-0.5703402397210776
0.3544809182739012,0.9758384880101496,1.0851031821036545,-0.6867448412598779
0.5551784715857713,0.9194097606570626,0.8657819800209317,-0.713085888573347
0.5040699304976362,0.9815049491640633,1.0055958747935057,-0.7530677355288152
0.547851497092174,0.9062529874623944,0.8970988667198996,-0.6789416815017459
0.5591766851305734,0.89195769561591,0.8371810980253592,-0.6545184907154346
