k,rho,nu,beta
0.40320278878124743,1.0315541133449704,0.9063546291146282,-0.6167683261338263
0.5660812388402213,0.8723283479555408,0.840472765658665,-0.5997161542516686
0.44882434025823115,0.905202594781388,0.9111362794246802,-0.6846002384806296
0.5281530880963232,0.7365769490770389,0.9038506539817027,-0.7065661942672236
0.3689456853792178,1.162072535731741,0.9434158266155734,-0.6618293390902005
0.6329591806913684,0.8076448297157031,0.9543662925820842,-0.6293815099692146
0.7362506420523758,0.4855735128807078,0.8152391332067902,-0.7464002329525271
0.7093857692614319,1.068881636409745,0.9671529184959401,-0.668331569215979
0.385729847357257,1.5400334163130984,0.9156738859974616,-0.6025814284517566
0.4904040558010151,1.308563630963604,0.9280819719770259,-0.7114916271233993
0.49190192719328346,0.8339444790306865,0.9274199474441027,-0.6293005281120371
0.5610899163652747,0.9739651885457882,0.944124804168465,-0.7538639180946303
0.5299861148351264,1.1705147556513142,0.9489752297147864,-0.7628310670708908
0.4219566069378854,1.0880664767217354,0.9947506473762657,-0.7158598443443591
0.6375485401562415,1.011826126471334,0.9120417500840927,-0.7159720632569131
0.42096983139368804,1.2324562232819114,0.9864651730010707,-0.6726116156349914
0.5386406898362647,1.102432214449676,0.9441299738027285,-0.6707727677530215
0.4339995392126894,0.8586873044876091,0.9017529923558444,-0.6700262414451116
0.3011915053957474,1.2130095108260872,1.0303508725654327,-0.7369133028438188
0.45360476396029553,1.1244857564492219,1.004888268458484,-0.6412890038244637
0.4376960286025923,1.1233140155535537,1.0028191198079803,-0.6321677643939452
0.5519542487057165,0.8906018172599973,0.8700813874030329,-0.6993597437574519
0.3573980328853997,1.641603339716688,0.9100786663455638,-0.6470993780696301
0.4395558527057681,1.3926152778418777,0.9449762537035553,-0.7420817440053596
0.5856931967645834,0.6272352604766317,0.8643391778890421,-0.7487249242636078
0.5743154033788826,1.084583635491699,0.965304512922974,-0.6846775184068812
0.5729927634443625,1.056052733323487,0.9079909321114522,-0.6480138379678831
0.46737802021009134,0.8088212644425756,0.9767480899640608,-0.7648127497672871
0.43507298409676043,1.1437023714912444,0.9656362698939472,-0.6863574883520326
0.49390921020279754,1.181613950892308,0.9347505827951688,-0.8204998177361231
0.6455318210478402,0.8341297550003954,0.8408319548588077,-0.6263524011877006
0.7708001012179816,0.6808310095227261,0.8048730901196549,-0.6927767777123272
0.5621764234492224,0.7750736270412975,0.8260422333613392,-0.7426878964802263
0.6035655875933318,0.5920530208949251,0.947880695051624,-0.7691618494179511
0.6012597177569745,0.5681610306711682,0.8787805724504382,-0.7483197826626263
0.43108503931129694,1.4748560265980304,0.9236874560043855,-0.6639897396760814
0.5984603342940413,1.0319633728242685,0.8559612035781989,-0.6978634895364457
0.47138747713330176,0.9902850455040287,0.9417600414382203,-0.7279304748766675
0.42224734312991036,1.26405999466631,0.923923121283642,-0.662558513747538
0.6040853208726971,0.8919498004103961,0.9421047707603032,-0.6489138896633978
0.283353747044774,1.0574998900301593,0.9739145720062274,-0.7398197515394197
0.45346959967967504,1.1390293669849634,0.9815975965293968,-0.6831136469910504
0.566877214274232,0.9941574848247289,0.8721646768022905,-0.681165940610944
0.608004546063333,0.7396443334200666,0.9189790702402383,-0.7149837223970957
0.3497148951406142,1.5455026457407208,0.9278663108228051,-0.686466169181997
0.592316969246551,1.000055600268519,0.8568525465120431,-0.6463485331400961
0.447736031534689,1.1481550972298455,1.0001042736066732,-0.7281463351098063
0.5529104745903274,0.8484138997723762,0.9461418845004987,-0.7351308657049517
0.6024910993660252,0.7267495331767664,0.8883912712753946,-0.7363163657063867
0.5167882825654604,0.8715918209910193,0.9151961044533863,-0.7219843669580766
0.6639285291193717,0.8786336395963202,0.8447552435646639,-0.6918371019593073
0.38540208983194596,1.2270392383802549,0.9925004418015202,-0.7445406667847343
0.5521654757738891,1.0885495875795166,0.8855781452730234,-0.7141171386531517
0.5013402923718142,1.1721150444592605,0.9734771883933134,-0.6694386957436215
0.6222546561012318,0.7209940699850159,0.8359416362913651,-0.7078041000499289
0.5993250359052341,0.9631164968676507,0.8223293609667595,-0.701048244084314
0.5750976037060036,1.044877261524315,0.8839898351310833,-0.7176934450727684
0.5401721234211123,0.8814564760226481,0.8864558262881295,-0.6354391025047801
0.4639522111930982,1.1021683076463205,0.8835709527674722,-0.6777350672107836
0.5585026203428279,1.034511457983453,0.9514902545041058,-0.6516216432424383
0.47312248711647337,0.8493521229818871,0.9001784878200586,-0.6662024198499782
