k,rho,nu,beta,delta,gamma,sigma_cd,sigma_io,lower_cd,upper_cd,lower_io,upper_io
0.009293122610720888,1.0163649720687604,0.9954569139658558,-0.9925056418990814,-0.9806197012451418,-1.0104498185128694,-0.5,-2.0,-0.51,-0.48,-2.07,-1.95
0.009010358585000584,0.9758597200149929,1.0173317284365904,-0.9924349746763692,-0.989802109491412,-1.002360972839683,-0.49,-1.99,-0.52,-0.45,-2.08,-1.92
0.004048709839904619,1.0085358896821148,1.005268637847688,-0.9939164579942289,-0.9886505091360959,-1.0035722865519412,-0.49,-1.97,-0.51,-0.48,-2.03,-1.91
0.0015232532242955396,1.0039317216618973,1.002126772690053,-1.002550273965026,-0.9844378273759335,-1.0114636534595767,-0.5,-1.99,-0.53,-0.48,-2.11,-1.89
-0.0033963635271491424,1.004170832955215,0.9969340985830193,-0.9980172419392286,-0.9949852335317433,-1.0036882866186945,-0.5,-1.94,-0.52,-0.47,-2.03,-1.85
-0.010499668620217173,1.0020838675121095,0.9994570384536952,-1.005374177920274,-1.0078077021738958,-0.9891553423627476,-0.48,-1.97,-0.58,-0.4,-2.07,-1.88
-0.007630228854404994,1.0015114047193014,0.981217499128901,-1.012165559184516,-0.9998301062918031,-1.0058333060682432,-0.5,-2.02,-0.55,-0.46,-2.08,-1.98
0.012393823324086086,0.9892856355111821,1.0132039309647038,-0.9977607633341672,-0.9830578731173446,-0.9994077045170014,-0.49,-2.08,-0.51,-0.47,-2.22,-1.95
0.030178574983784734,1.0048977970629909,0.971205943503554,-0.9901162414125717,-0.9822260073410833,-1.005620028367914,-0.49,-1.99,-0.52,-0.45,-2.11,-1.89
0.0007522886005679539,1.0034771194558547,0.9908602782168249,-1.0051714992986014,-1.006171928934509,-1.0057254029308729,-0.5,-2.03,-0.53,-0.46,-2.08,-1.97
-0.025639457494958502,1.0287249092387838,1.0036769136213104,-1.0009410871248212,-1.0052367162766522,-0.9952884040191314,-0.49,-2.01,-0.52,-0.44,-2.07,-1.96
-0.02328925992919912,0.9886725556083678,1.0030510949705613,-0.9971234477390223,-1.014550734601698,-0.9878354580219466,-0.49,-1.98,-0.51,-0.48,-2.05,-1.91
0.01364311792110301,0.9811585518745569,0.9825340391066223,-0.9987332995600419,-0.9823591973688731,-0.9885951901737304,-0.49,-1.85,-0.51,-0.47,-1.96,-1.76
0.024487294649512676,1.016614469324164,1.0048479968023,-0.9840825127933288,-0.9926052852619358,-0.9794984006820475,-0.49,-2.02,-0.51,-0.48,-2.13,-1.91
0.016884370834427623,0.9825165190964513,0.9856056145073702,-1.016390048252883,-0.9890465012208707,-0.9887350225198912,-0.52,-2.0,-0.54,-0.5,-2.07,-1.94
-0.024861812957270135,1.0226301652304755,1.0251310862211769,-0.9868535675460604,-1.0158213981746322,-1.0073052088762084,-0.52,-2.05,-0.55,-0.5,-2.15,-1.96
-0.04496496447323231,1.0251900008726884,0.9828747963461191,-1.01505139599606,-1.0106478212693488,-1.0227127656222832,-0.5,-2.16,-0.51,-0.49,-2.27,-2.07
