k,rho,nu,beta,gamma
0.3250118994364761,0.9254357081506713,0.8324214128273266,-0.8688088115511526,-1.1523914555688568
-0.13094365828157697,0.8388665322042105,1.0152357552736673,-1.2267178884105103,-1.6082637754392168
0.2735468629450164,0.9180581093934139,1.0097513999366665,-0.8916533370151669,-1.133374846765523
0.2492394095904058,0.9435929937209859,0.8801840895175655,-1.055448087361977,-1.2006670929208987
0.05206241022240382,0.8300023600036566,1.3095139672080918,-1.0273590758978834,-1.386538141782903
0.5061763508565744,0.7438313869940669,1.1191532631176497,-0.8805141372880277,-1.0950726204022143
0.3646329616904463,0.8028853768295212,0.9639546127555614,-0.9868664536853113,-1.1869190547270132
0.24573722598240155,0.7705102873609156,1.3415947828745958,-0.9890075853970097,-1.2876118107482504
0.8565853152053684,1.069640426839726,1.6278137466792935,-0.038021741369853396,-0.30774915665981406
0.28441082551880426,0.7003760797149248,1.9349240194103414,-0.9175302461265769,-0.9472319801493975
-0.2063878779141357,0.9260236700073311,1.3613442165996903,-1.1263215188552806,-1.5785009080416599
0.5723706651156442,0.7192139796255412,1.5463456472056114,-0.784675282923603,-0.827223040275708
0.34015528821283353,0.8081095600343987,1.4424735976372391,-0.9034188860758343,-1.1055429243212762
0.30839705733407813,0.8250261828825377,1.0818899478717816,-0.969381180050777,-1.2287209767277067
0.3556399330284622,0.8320630977219258,1.291717942856546,-1.000035931012671,-1.186817921350417
0.16639920339150227,0.8871652807934302,1.4813811995273989,-0.9136293137028715,-1.194342246476563
0.014690933973762643,0.773484385609581,1.746973868514663,-0.9965116496212347,-1.3017813558248859
0.230863266639583,0.8178069471149618,0.6624431476274543,-1.1110488694732723,-1.3534106417416571
-0.09175011166946478,0.8602588379218321,1.498507727869802,-1.1064436328625642,-1.4030567727434882
0.09429290476211555,0.8370538978349831,1.500099942584668,-0.9601221437755145,-1.2781122195795618
0.4380787006434472,0.8068662423711763,1.1861553688857818,-0.8874065074413185,-1.0919087416473494
0.44183831178368277,0.7940172198963481,0.9231108464636949,-0.9411478636625614,-1.1468354399609562
0.13917765958363404,0.9338345938613681,1.4584393462669234,-0.9605256124520709,-1.2618938501546186
0.3049656460485057,0.7388132480371679,1.6815836195013252,-0.9081877282487321,-1.0587452820398997
0.34685967545160035,0.9763125780578995,0.8068078425439318,-0.9536193750428339,-1.1494829220958918
0.2819822733332676,0.8371977766829535,1.5980720596985083,-0.8903800572181915,-1.0630451090565962
0.1717041617366475,0.8465431673255479,1.084756316975704,-1.0663168260041527,-1.2788941086616188
0.4682129120740113,0.8316581210958225,1.0686188845137292,-0.8612614370409006,-0.9564070756443217
-0.0030568370084024243,0.8228833587264075,1.8815566743416503,-1.0090087998510766,-1.1247540657217168
0.339839492334576,0.7122567371792264,1.667330556381387,-0.9624012081540794,-0.9743319514426354
0.21868539740906348,0.8504977044611903,1.1059229203673036,-0.9867568651658366,-1.3368919158067154
0.17480516528542736,0.7406441187030776,1.052088764773892,-1.1134377141493403,-1.3695382766813555
0.08482617920072044,0.8146299600737188,1.1241038051273649,-1.0519534590126485,-1.4119115661396793
0.40791649832009946,0.869417573082905,0.9070065257606622,-0.9290511826373289,-1.050057435487977
0.29810135679264527,0.6657469646339154,0.9940801064690798,-1.0265496669176755,-1.2002331157627182
0.4489664210769957,0.9660153090216446,1.3986400048556498,-0.8511696207913491,-0.9755162155196064
0.1640227145904925,0.722319610674751,1.6640778374128937,-0.9869179868539569,-1.2445592467078201
0.17959341010801055,0.8461795499718462,1.1147161820204983,-1.0338138583444079,-1.3569214348814596
0.6512368491068383,0.8449362338190213,1.1218832194595472,-0.7575393099525819,-0.9021242225627484
0.36586550192165157,0.9074731746914223,0.9983815462955549,-0.8853293808721081,-1.1662642221139743
0.28807564409755454,1.0082738556366848,0.8629299000932502,-0.8672117391644422,-1.0023983796213167
-0.14735408183262555,0.8438714866065369,1.5132014146617083,-1.1508145465086228,-1.4788973887268468
0.33212311771511077,0.8006355382317341,1.101665389386911,-0.9414283261995406,-1.1707258670841343
0.3233826431047879,1.027112652065985,0.6840337428506919,-0.9935004476674549,-1.2429306179023845
0.3982375638617986,0.8633604379787769,1.4071559711296,-0.8807046231351618,-1.0379279880754781
0.47410316003359393,0.8170243216672682,0.8754727094162107,-0.9313412564955522,-1.148342928388656
0.40576844288082614,0.9924576472605016,1.4278683953158389,-0.8243330220230891,-0.8504231446719256
0.47463338347642725,0.6965448704598276,1.9523693726874454,-0.6901382845088194,-0.7679358800989907
0.3139648409037783,0.9638690884189938,0.9872955203061007,-0.9025064902062508,-1.1429814270656005
0.16912879027321429,0.9131333132033475,1.004611615999379,-1.0385549022612366,-1.4127016960936942
0.6399690788865768,0.6078173656719335,1.1407844859882963,-0.8863939633190873,-1.002791733253146
0.2686363238141973,0.8764017283340633,1.376597909750064,-0.9205522197025279,-1.1121488881433859
0.28238578315635376,0.6969289169335298,1.4586308375179575,-0.9648846222121013,-1.1735132154695884
0.8993511037282769,0.9246214893861214,1.2186883315102364,-0.5032146342633445,-0.5537770607896675
0.28570761017997626,0.8156237773991206,1.0496287852673303,-0.9546401358579992,-1.2618545666320102
0.3572993763756208,0.8126057302387943,1.3778525739245229,-0.9334086354397462,-1.1308022268565532
0.4131683178736009,0.7417268540114583,1.1027569945932945,-0.9469385308011569,-1.20741901517546
0.13191209582648855,0.7904252911694767,1.1992080691771432,-1.0504127742928466,-1.4212333702065976
0.0941099578062391,0.7933176909702103,1.3150636932773672,-1.109151917424761,-1.3003120497858092
0.21468195451370103,0.9769828737708165,1.3503604407901348,-0.9232667179386703,-1.1749603503190076
0.26263265884392817,0.8062216823833503,0.9162651490625604,-0.9971716434158437,-1.365444064659442
-0.16124177158797248,0.8720516249481889,1.4538803494631525,-1.2391853368301775,-1.4523928108472315
0.43454908999727604,0.8476375309482223,0.7660980199007648,-0.9726199689123036,-1.2201501650086402
0.20148870845632094,0.8622262178347535,0.9140643414645524,-1.0260693735391975,-1.3622106654119928
0.3121297789786375,0.820894517210909,0.7316732941847879,-0.9997544948682543,-1.3032259436865636
0.29866291965247205,1.0285265670784687,1.0110163458668937,-0.887637056071473,-1.0416633099201904
0.29774452400397966,0.9349726562888765,1.3807689405240602,-0.9305797296437538,-1.1652183101290807
0.3638324243028132,0.6146258347729678,1.188517004450857,-0.9867677219232253,-1.1824613083066757
-0.11095797643883898,0.9023707324436898,1.2766591825501221,-1.116904022441934,-1.5225261667510481
0.6325303009174441,0.8773681632350072,0.5330201937254404,-0.8878664737601807,-1.0507261315763217
0.18714038284765439,0.9301674198632445,1.041862059031535,-1.0593580721948168,-1.2653719239074568
0.14892986268694064,0.9002806450728176,0.9450044346779953,-1.1071042843188894,-1.3573130754515357
0.23517199651860235,0.9071604771080546,1.0323217458409313,-1.0095923346489848,-1.303679909611927
-0.658358928092664,0.9437311778313249,2.602254875485363,-1.2029050868541615,-1.4275838913782017
-0.17034582396818532,0.6875482702107382,2.3478541950079728,-1.0586286897082937,-1.2269761914254367
0.4042767557418582,0.7206079054115693,1.4599266551361876,-0.9085978475041966,-1.1086860536575167
0.277792316329819,0.8029228376343485,1.0340656601580611,-0.9587927464784017,-1.2631134599661322
0.11966615363606015,0.7738441355547658,1.4025624549980185,-1.035782098795492,-1.2899431375440593
0.1266848634962599,0.8291200683137373,1.3692376746384767,-0.9990875497080458,-1.285421186943293
0.3938303338314668,0.8926640336815421,1.0805034988740285,-0.7999733160228465,-1.028324605630555
0.03261328579038425,0.7798710376032042,1.117093597135923,-1.3101904613567021,-1.473556651652272
0.3489922391550345,0.838970460517521,1.1881344306156034,-0.9193622057366291,-1.18106468991998
0.21691180197622106,0.6643146595293853,1.0412447426064781,-1.0847293002926857,-1.4216649577556382
0.35381785702358715,0.8192451436218087,1.054442442265639,-0.9346108209164887,-1.186939633939506
0.30526457049195876,0.9604986176556117,1.3645341945954101,-0.9035481778572896,-1.08215130230102
0.301337994098167,0.9438731239864633,0.9318345914260663,-0.857150019444411,-1.1624206423120704
0.3513037217192585,0.8865475499989895,0.80548363476681,-0.9387715065584031,-1.219109870914549
0.18087697931658298,0.8236830325935787,1.288434990713618,-1.0149613007366545,-1.2695932677105735
-0.026984262932559844,1.0274087449255505,1.084823769275979,-1.1159221822979717,-1.4991231340288707
0.16074160975130058,0.819301062841338,1.5315085894264922,-0.9883552245843686,-1.055613759659219
0.15780172523498237,0.8984228030914589,1.0615136366487554,-1.047363351276891,-1.3325728761269444
0.7346965813908803,0.8419899501048319,0.7529130425321864,-0.7051967881639759,-0.7346085491646424
