k,rho,nu,beta,delta,sigma,lower,upper
0.019818458770271614,0.9799388131139588,1.0158897286521666,-0.9945539744334153,-0.9934770463747278,-1.96,-2.03,-1.9
0.019218284861890665,0.9939032231853717,1.0063835507481769,-0.9957695550919674,-1.0087822982593693,-2.06,-2.12,-2.01
-0.001334014490392014,1.001278910320109,0.9855406196154528,-1.0143878123634118,-1.0039709138492436,-2.02,-2.1,-1.94
-0.033619460532870446,1.0129660704011387,0.9886587414468928,-1.0126436667165284,-1.0345182280119514,-1.94,-2.08,-1.83
-0.027427233715703103,0.9903934657082843,0.9877302152331593,-1.0199888595381064,-0.9950370483653431,-2.02,-2.08,-1.95
-0.025655125160650976,1.0266369888624596,0.9967164198183608,-0.9974796327504215,-0.9895048620602831,-1.98,-2.04,-1.91
0.005827573665311256,1.0056635934630695,0.9769214006530009,-1.0010688528976401,-1.0371836969266366,-2.04,-2.13,-1.95
0.026120076197983025,0.9633511445057442,1.0006876389862893,-0.9980883384368867,-0.9985235479462085,-2.02,-2.11,-1.92
-0.00849793213557211,1.0165032603385957,0.9943220052744929,-0.9969820597840059,-1.0170036789502226,-1.97,-2.08,-1.87
-0.04861648333639977,1.0123860783304788,1.0243873380289026,-1.0141588362655298,-1.0184567773787536,-2.02,-2.1,-1.95
0.008089032162449753,0.9790763955383903,1.0089682514395086,-1.0024440858608736,-0.9950887272843816,-1.98,-2.04,-1.92
0.011755721036054115,0.9634112927890348,1.0118549592144972,-1.0003625785059516,-1.002443979319057,-2.09,-2.19,-2.0
0.015462277392658007,1.0026759657968631,1.0080714574550407,-0.9930484287641603,-0.9732462169185486,-2.04,-2.13,-1.96
0.018410365364925917,0.9900720355668038,0.9859502813407535,-0.9890175867704981,-1.006587204574729,-2.01,-2.11,-1.93
0.0048792288828283185,1.0296754595949262,0.9846731409694187,-0.9968214974730873,-0.997495764610969,-1.97,-2.01,-1.92
0.028211726076358717,0.974591253096253,0.9883533360337446,-1.0000353493631584,-0.9967686075761173,-2.05,-2.15,-1.96
-0.01499152206874661,1.021657155339903,0.9907478255665392,-1.007924840545912,-0.9975022228430535,-1.97,-2.04,-1.91
-0.009131820283139035,1.0072349418715842,1.0040533136298744,-1.0023456599253244,-1.004382568593908,-1.98,-2.08,-1.88
-0.0035941452306191765,0.9766427404593037,1.0159278154351674,-1.001295984668513,-1.0339321480420276,-2.07,-2.14,-2.0
-0.02455306409496849,1.0030807665717871,1.0260453910146592,-1.000386574956594,-1.0082230612389385,-2.01,-2.08,-1.94
0.03544533301621074,1.0019745504392934,0.9974702693650912,-0.9919605459436102,-0.989270472579163,-2.02,-2.1,-1.96
