k,rho,nu,beta
0.5977899182427752,0.6929767893058547,0.8483571888762934,-0.7264631291166386
0.6168495534540692,1.075504632731389,0.785357500048668,-0.7288106668024124
0.49436971749158803,0.9819581186367884,0.8347414752985414,-0.6557925229704324
0.5262775473118836,1.0778916029149506,0.8344691477240159,-0.7312670043323447
0.5245502303192551,1.1128486697745266,0.8868447941515883,-0.7311404325444024
0.6873540839112456,0.7689865659873977,0.8395699880754789,-0.7203921062442696
0.49877924882343955,1.018970763883404,0.9115155053163545,-0.6978415024438852
0.5103000243130004,1.047802035616587,0.9254446288439515,-0.6553584141715543
0.38304951425819733,1.4644242646590273,0.9392443768593506,-0.7379807419174432
0.45902428952430496,1.0454765723275177,0.9183809785750935,-0.6650229871777809
0.22237880197555854,1.3241729184313669,1.0694771672131798,-0.6999141761454771
0.4281531762788817,1.229478753308747,1.008987317000171,-0.7557587928422937
0.4616247576798156,1.3682391616826832,0.8283091393921557,-0.6938175790513509
0.5307731775298024,1.0126456020757122,0.901958126839251,-0.6653818232085307
0.560771255365048,0.9589110600336005,0.7849200588307377,-0.6572914860331295
0.5306868117350894,1.2724908612543286,0.8809124025917416,-0.6366555051715954
0.4942724385611524,0.9901468114211975,0.8988019870986731,-0.6636963982306561
0.6158077297334512,0.9177027244482404,0.7818450229886723,-0.742069450190103
0.5289594933306825,1.0328595222677184,0.9081330406734038,-0.6947724484570025
0.552009746598594,1.0985074500470624,0.8952983924633043,-0.7095721852163858
0.5505866270866322,0.9535042167038807,0.8627562742687516,-0.7479236919757559
0.33981125166211845,1.1212442027832619,1.0039461874049236,-0.7502975952537314
0.3590637425689394,1.2884398152381522,0.9483434317699952,-0.6721122078663171
0.5015007256550468,0.8239789609517251,0.9400199828838898,-0.776866395008339
0.6236745855718544,1.0276512803581863,0.8179194326226209,-0.7071149536450068
0.4138433010907546,1.0371606105884574,0.9664153691228407,-0.7199896398380772
0.6004415350104847,0.8219775096969091,0.8589864265174753,-0.6150377473550291
0.5913967524018255,0.8121143019992325,0.9105954416242823,-0.6839644424153037
0.5881279944534391,0.8567364307108747,0.8945614501502867,-0.7131283294696581
0.4428661573230027,1.34929782837044,0.9070607880517679,-0.7301173356687446
0.5598726108516091,0.9132842526812122,0.8807500899473277,-0.657691337314295
0.47393361937371364,1.374639941293589,0.9182344101244682,-0.597654640826226
0.5563208661955945,0.8603397038514007,0.881519412025287,-0.6812054254710957
0.5085272746239492,1.1025649555972432,0.8293061840814077,-0.7608034985890855
0.6617470690335706,0.8858837980560513,0.7731985124640904,-0.6906278887576061
0.4908724530802803,0.9945651637143209,0.8619980957975477,-0.725740567982906
0.4774314819441466,0.8071784212072111,0.9883100858963765,-0.6869941501770339
0.4686091304026318,1.2195405894479685,0.9090936499851228,-0.6891205550665702
0.5814142099601155,0.8065708069057272,0.8778070978527536,-0.700046854997632
0.5862318211846695,1.059937829987381,0.8540944055088219,-0.6910441065591229
0.4894404217826116,1.0323512554705858,0.9468969160973956,-0.6784926397105637
0.4930690902606535,1.0421510254719752,0.9230180597229811,-0.6559630484245894
0.46195915917586994,1.0745491942665488,0.9145704531921495,-0.7759549319223463
0.5696784751684845,1.1515158113120938,0.7896887147268815,-0.6774085393983218
0.4448644359695838,1.2096794939934603,0.9779642200649504,-0.7461022915855693
0.5548536338146804,1.1702428708882957,0.8674801880808063,-0.7125304861762073
