k,rho,nu,beta,delta
0.14977006902564327,0.961995782647823,0.7205205802814942,-0.9659598727883155,-0.9779018128705692
0.07669422799508663,0.9352551418791675,0.81835576352593,-0.9673324743145201,-1.1085742915481032
0.029093138463629376,0.9626894725560088,0.827742507068082,-1.0044234874883342,-1.0165323435029183
0.08222238830868678,0.9317173351267823,0.8504299403432324,-0.9582546170580735,-1.0436359083031932
0.06125933430887279,0.9582136691522734,0.9492207073600081,-0.971260519883305,-1.0256754410322713
0.07709067241092687,0.9666303159741226,0.801166334164225,-0.9778128129421872,-1.0379722855573257
0.13128152881493194,0.921692270944331,0.8733404128361781,-0.9801411402869806,-0.9489161195407364
-0.008102272171896296,0.9786540373154469,0.9925941375070368,-0.9971268415762234,-1.0310629348420182
-0.004387210675962816,0.939461886236709,1.0493395031357926,-0.956457899660832,-1.1244916422706934
0.06313584613055226,0.9183010911793087,0.9859223564950077,-0.9502631182255367,-1.080813715691338
0.014327518746341306,0.9868901221310471,1.0469018183358283,-0.9938704848910258,-1.011056139656402
0.008772123882891489,1.0015384079987102,0.9646569882567152,-0.9826250674226276,-1.0544783477739506
0.10185159863870294,0.9370202395863546,0.9462098793035638,-0.9723687174281109,-1.0057105158667892
0.11698028743506966,0.9081826523381881,0.6868174115584791,-0.9637067509031032,-1.1537750163537652
0.08380157662688956,0.9887795640391941,0.9421379889713697,-0.9856878051320291,-0.9549842794075815
-0.0016773189429638569,0.9659068378053126,0.9316722391617385,-0.9742792908829352,-1.09470722627774
0.03303135637529092,0.9656333739653118,0.8676024058547587,-0.9949200533017644,-0.9919480669587348
-0.08001260289371154,0.9941571176808196,1.1197273267214152,-0.9992312791929172,-1.077457651203742
0.05973039226918231,0.9391933051042204,0.8686492363165622,-0.9768079198423483,-1.0514191542764428
-0.014695143452042772,0.8811267030235437,0.9438408548123536,-0.9367664497932782,-1.2067708928624497
0.08355421363929064,0.9081786666175704,0.8915010416777118,-0.9784596977741179,-1.006676254279507
0.0831028400308591,0.902018284755697,0.922453947146827,-0.9729617970832417,-1.0644647157694551
0.07301189003251148,0.9552554713481252,0.8657355319290239,-0.9884897452844406,-0.9867875870638747
0.0882738643903351,0.9289749817316352,0.8955998208940359,-0.9820900031045413,-1.0074858816160381
-0.10288775551453871,0.996000584598115,1.140718386648898,-0.9772024921309523,-1.1228251562139426
0.07620710247592705,0.979369204190655,0.8928234086536093,-0.9784765504547922,-0.9755871363457406
0.007264651395890734,0.969994621179454,0.9419557187617403,-0.954626446562692,-1.1270238111290487
0.10714485104891988,0.9304826906276521,0.754855516704692,-0.9744142016102935,-0.966028513011702
0.05020364034660743,0.9222865403249585,0.9618141987401859,-0.9932183101726932,-1.0233725385430188
0.1014763616980366,0.9360136843380237,0.8121934604448078,-0.9783382680760035,-0.9891265701711118
-0.007105784147530325,0.9690470074839462,1.0670219848895883,-0.9770707820523197,-1.0587080774963988
0.05795490563619239,0.9463795225929766,0.9007698511595182,-0.9899302799368093,-1.0467496885780858
0.013626785327902485,0.9543952214481864,0.8960080060930025,-0.9784385788110694,-1.0762319559815705
0.025375620202991944,0.96758479747449,1.0305902298167728,-0.9951060301294801,-0.9974130243057572
0.06384342337105603,0.9548557182803434,0.9379823813458743,-0.975043898695003,-1.0081176448934348
-0.055281192960437486,0.9582191175920862,1.0755093018265667,-0.9870384857387678,-1.1080835496980814
-0.027752886975486113,0.9771761132472927,1.0556128438520918,-0.9978762643713339,-1.0326248697504208
0.07542697571519388,0.9582607372456282,0.8724181763817643,-0.960717707042931,-1.0100922672098498
0.002190906133248148,0.9479817471055633,1.0254129456140595,-0.9837351295724368,-1.0633979506602254
0.03428086426115484,0.906816758765203,0.9145497882120166,-0.9818641359868507,-1.115085941135638
0.07721715949715308,0.9770143932499901,0.7694978742114764,-1.0016202539007228,-0.9309581437251124
0.03360020399653235,0.9406456464383376,1.079628907674125,-0.975409439724496,-0.9895263106351456
-0.007087989215284446,0.9392296850479325,0.9401841687517922,-0.9769861460708177,-1.1335777554742026
-0.012175503426931418,0.966181736652295,1.0591332136026619,-0.981485146306702,-1.072745976779224
-0.0013539310117874903,0.946192131096797,0.9741619969683248,-0.9772981831593173,-1.1084919734758003
0.05074263906715046,0.9299330684630666,0.9077343332532343,-0.9698112381995388,-1.0961991813434082
