k,rho,nu,beta,delta,gamma,sigma_cd,sigma_io,lower_cd,upper_cd,lower_io,upper_io
0.013262514485852575,0.9966714807763587,0.9695651961811226,-0.9951735676579729,-0.9971628522844255,-1.0168590087498206,-0.5,-1.94,-0.55,-0.43,-2.04,-1.86
0.0055253430035565685,0.9925597129006143,0.9908843875018495,-1.0052805576891473,-0.9879120101395777,-0.9946573497835989,-0.52,-1.94,-0.57,-0.47,-2.04,-1.86
-0.027439651441708172,0.9903883390764635,0.9794104699756736,-1.0094739210088792,-1.0043869034337691,-1.0210296954785019,-0.46,-2.0,-0.5,-0.42,-2.06,-1.95
-0.0032536670818466697,0.9860990615863268,0.9992491205155648,-1.0111854648908278,-0.9920718124950944,-1.0069701980917658,-0.49,-2.02,-0.53,-0.45,-2.07,-1.97
-0.008060050017660012,1.0016688022962286,0.9972057357484765,-1.0049480376118451,-0.9974485471539005,-1.0113219041702048,-0.49,-2.19,-0.51,-0.47,-2.32,-2.05
-0.08002766011804757,1.0131553537974474,1.0504982759475716,-1.0124411453792055,-1.0343886873804657,-1.0023460536868942,-0.49,-2.01,-0.54,-0.45,-2.08,-1.95
-0.01484438062315916,1.0168913802804713,0.9829298597681368,-1.0044314521497872,-0.9996349238206254,-1.0171080442040354,-0.53,-2.08,-0.56,-0.49,-2.16,-2.0
0.0008832419616612414,1.0048014406674248,0.9894307603608391,-0.9940108152452817,-1.00653976512291,-0.9953795413149678,-0.51,-1.98,-0.53,-0.48,-2.03,-1.92
0.022600229547351535,0.9877391459815238,1.0075963688413265,-0.9976357939607513,-0.9919437592787388,-0.984393944861306,-0.49,-2.0,-0.52,-0.46,-2.04,-1.96
0.012292300897163724,0.9957530957880876,0.9911622850360661,-0.9997514279183243,-1.0082347982801076,-0.9928277322700403,-0.5,-2.05,-0.54,-0.47,-2.1,-1.99
0.0019078006095321568,1.0050993466710905,0.9550098973361815,-1.0133610414741991,-1.007729031070236,-1.01722255541321,-0.49,-2.09,-0.58,-0.4,-2.15,-2.02
-0.004562734000567716,1.014805755330149,1.0048174260348257,-1.0002351627746595,-0.9934560988452059,-1.023022363945054,-0.5,-2.04,-0.51,-0.49,-2.14,-1.96
-0.0050031647258904546,0.9942303112050896,0.9850507469588192,-1.0057337073719532,-0.9855152378136731,-1.0225408933312021,-0.45,-2.03,-0.5,-0.4,-2.11,-1.94
-0.037496902928130016,1.0131888603011436,1.0176731744402763,-0.9848600077331047,-0.9995611793814776,-1.0332709526094703,-0.49,-1.91,-0.52,-0.46,-1.98,-1.85
-0.033675641174361726,1.0073919936313398,1.0352930402942837,-1.0102624392508486,-0.9927258174099578,-1.003747198234202,-0.5,-2.0,-0.54,-0.46,-2.05,-1.96
-0.0322216380569889,1.0089002570296275,1.0366872944518728,-1.008668501939875,-1.0105897335519316,-0.9984379320797518,-0.51,-2.02,-0.52,-0.49,-2.13,-1.93
0.003970107701386111,1.0298640038524494,0.9860398525176948,-1.0034816487293035,-1.0169426263062524,-0.995112938898205,-0.54,-2.09,-0.62,-0.46,-2.18,-2.0
-0.011640882044812298,1.0023601177730102,1.0113473423780324,-1.002729507933257,-0.9975753681546762,-1.0080545149422802,-0.48,-2.03,-0.51,-0.44,-2.07,-1.98
0.008696250464104754,0.9863493769553653,1.0071034352651815,-1.008056963112256,-1.0026281407689293,-1.0142857398047962,-0.51,-1.95,-0.54,-0.48,-2.02,-1.88
-0.016604080407549175,0.9836548340397305,1.0241993305551875,-0.9971806058084713,-1.0119059015015963,-0.9913466629221539,-0.5,-1.97,-0.53,-0.46,-2.04,-1.91
-0.027610590299473787,1.013135198413282,1.0103697591830771,-1.0176442706798188,-1.0009662703262334,-1.014829387137828,-0.5,-2.0,-0.54,-0.46,-2.07,-1.93
-0.003599245933921447,1.0253741359838422,1.0148424397335796,-0.995734042018612,-0.995858075897258,-0.9815405515971825,-0.51,-2.02,-0.55,-0.48,-2.1,-1.94
0.002461931731569346,0.9990674558167242,0.9728879065008667,-1.0058781957129883,-0.9973473381006337,-1.0060175347784317,-0.47,-1.96,-0.49,-0.44,-2.07,-1.87
